5xFAD;eIF2+_S51A1	5xFAD;eIF2+_S51A2	5xFAD;eIF2+_S51A3	5xFAD1	5xFAD2	5xFAD3	eIF2+_S51A1	eIF2+_S51A2	eIF2+_S51A3	WT1	WT2	WT3
6747837	7.69333179237393	7.76317854248536	7.71753186865548	7.54668780099873	7.65789243585626	7.68753371006599	7.80431904771745	7.85095664246349	7.57875030656566	7.93856511662439	7.78678990192588	7.77876100147515
6747839	8.52558586958447	7.95998351876686	8.05146656516344	7.66499527021248	8.37937185483512	7.88472088577169	7.86439607555247	7.44018614544612	7.52426919920206	7.8957345289915	7.33406822982607	7.27336716358438
6747850	9.67531203238281	9.66465273267823	9.62501489306383	9.71447832372246	9.72316202418265	9.55242205410666	9.80194939787296	9.73477939033958	9.87881622434181	9.63676717116566	9.6598931691882	9.74642773639494
6747861	4.76240468303185	4.45185586984129	5.20166869991125	4.89935059401496	4.59068594392888	4.5832452767935	4.73341795263431	4.64970477156619	5.02300343699672	4.96566554108126	4.92236773143644	4.72456017389328
6747871	6.99514486335177	7.04318150713499	7.04946706572156	6.98724621483084	6.93701362324128	6.88474288454633	6.99777734085774	7.07630799944754	7.0402759893333	7.10389607971247	7.09377422248309	7.10983567999436
6747912	4.45462349756356	4.6442890732211	4.42192468961203	4.41896713056165	4.35639499372996	4.55086997590265	4.3126758241123	4.1429102290693	4.69331092441012	4.58110324954544	4.58828955935649	4.2781573119452
6747919	4.87796690837077	4.89178229114703	5.17675830705251	5.00438764055908	4.77768687380112	4.8037294941543	4.78607982899911	4.797208536877	5.0195168845339	4.99536241042714	5.03483596329596	5.06657863501096
6747972	6.61514640277499	6.44589014436716	6.40762746445141	6.60901316208944	6.46033625847212	6.43279274557468	6.5147362570424	6.68769743509902	6.74166615878097	6.53965573977433	6.55161076045925	6.63634992637698
6747986	10.1278240225568	10.0962065345786	9.85653064290155	9.80994186326397	9.77403151854491	9.93522270607283	9.99663113659858	9.93619363655948	10.0618886039404	9.86833591554244	9.86000429661227	9.89870738619876
6748011	8.27252685996579	8.1341735616258	8.19330081060176	8.07813171252599	8.13937206357631	8.15211097827181	8.20230270072636	8.29283753219454	8.20833838128809	8.24397800905853	8.30387960366591	8.3167085028284
