# 2018-01-09
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	down_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Wdfy3	0.0111308173079734	0.0675483546076688	0.164782952488227	-0.122279570544077	0.144553011506459	0.86912164940053	0.565439175299735	0.999994336935075	0.993058243789026	4677	6180	0.0271505631340858	1	10.8978052983456	6.1069823847127	11.123086594994	11.7121689445793	0.0111308173079734	0.0111308173079734	0.0111308173079734	0.0111308173079734	NA	F	random_intercept
Cct2	0.00815391512108939	0.0494751967715324	0.164808139293366	-0.0895614143004652	0.105877873106223	0.869101827160403	0.565449086419798	0.999994336935075	0.993058243789026	4676	6181	0.0271588628235833	1	12.6463388216297	6.1127104699242	12.3744955195786	12.2110184769189	0.00815391512108939	0.00815391512108939	0.00815391512108939	0.00815391512108939	NA	F	random_intercept
Grin3a	0.0149904065431019	0.0906338934963844	0.165395151469465	-0.166252184665636	0.196102137587355	0.868658723899635	0.565670638050182	0.999994336935075	0.993058243789026	4675	6182	0.0273447328965233	1	8.12478423944185	NA	9.07227598824418	7.61629731495131	0.0149904065431019	NA	0.0149904065431019	0.0149904065431019	NA	F	random_intercept
Ogfod3	0.0073842416798285	0.0446129398550383	0.165517935016662	-0.080727364904656	0.0955039908070084	0.868543255886971	0.565728372056515	0.999994336935075	0.993058243789026	4674	6183	0.0273932756250943	1	7.86671501546786	7.83437545807652	8.41151741975606	7.13176929296085	0.0073842416798285	0.0073842416798285	0.0073842416798285	0.0073842416798285	NA	F	random_intercept
Fam171a1	0.0221304651194936	0.1335746228126	0.165678664506069	-0.241811801892575	0.285894965028063	0.86843868117388	0.56578065941306	0.999994336935075	0.993058243789026	4673	6184	0.0274372769795832	1	8.94690950328447	8.40619645182342	10.0054741854808	9.47639754286597	0.0221304651194936	0.0221304651194936	0.0221304651194936	0.0221304651194936	NA	F	random_intercept
Mbd3	0.00579891332977079	0.0349390840743995	0.165972104976265	-0.0632458260733853	0.074792040963566	0.868209206246541	0.565895396876729	0.999994336935075	0.993058243789026	4672	6185	0.027533959103792	1	9.01813153599336	10.2708686011618	9.41423596214084	9.81512431413971	0.00579891332977079	0.00579891332977079	0.00579891332977079	0.00579891332977079	NA	F	random_intercept
Hcrtr1	0.0113281178105513	0.0682160655948112	0.166062315552438	-0.12342698712765	0.146046750155525	0.868119130273282	0.565940434863359	0.999994336935075	0.993058243789026	4671	6186	0.02757195756746	1	5.64808224959748	7.69252285806473	5.70246327594814	5.42782312738896	0.0113281178105513	0.0113281178105513	0.0113281178105513	0.0113281178105513	NA	F	random_intercept
Glyr1	0.00416474222824465	0.0250585445100749	0.166200484093168	-0.0453265470379239	0.0536609614742407	0.868006190525126	0.565996904737437	0.999994336935075	0.993058243789026	4670	6187	0.0276196391367876	1	11.8200079609142	8.95524836994575	11.2581283878784	12.0248107093157	0.00416474222824465	0.00416474222824465	0.00416474222824465	0.00416474222824465	NA	F	random_intercept
Uba2	0.00359242676324627	0.0215601635963232	0.166623353630717	-0.038981557401289	0.0461987688553045	0.867690123785735	0.566154938107133	0.999994336935075	0.993058243789026	4669	6188	0.0277533030744905	1	11.5783257859953	11.1429659231852	11.5097757100954	11.5037296774683	0.00359242676324627	0.00359242676324627	0.00359242676324627	0.00359242676324627	NA	F	random_intercept
Slc6a6	0.00636191425412819	0.038151558957191	0.166753716703078	-0.0689898152489364	0.081717672177424	0.867570932799979	0.566214533600011	0.999994336935075	0.993058243789026	4668	6189	0.0278037947884471	1	11.6407558065662	12.5054484624016	10.6545172900593	11.5452374799209	0.00636191425412819	0.00636191425412819	0.00636191425412819	0.00636191425412819	NA	F	random_intercept
Egfl8	0.00810633398976034	0.0485734337372219	0.166888221936602	-0.0878366178626611	0.104040197344388	0.867466145402885	0.566266927298558	0.999994336935075	0.993058243789026	4667	6190	0.0278482238106861	1	6.21700021355742	6.55704070693933	5.26346472348736	7.47407008008829	0.00810633398976034	0.00810633398976034	0.00810633398976034	0.00810633398976034	NA	F	random_intercept
Selt	0.00534027847664775	0.0319672711048647	0.167054562121666	-0.0585277003329162	0.0692892074285386	0.867350112878066	0.566324943560967	0.999994336935075	0.993058243789026	4666	6191	0.0278974632141455	1	12.6081089549483	NA	11.5398278346192	12.4127860623703	0.00534027847664775	NA	0.00534027847664775	0.00534027847664775	NA	F	random_intercept
Btaf1	0.0113964870389808	0.0680386064079168	0.167500300794738	-0.124565441080722	0.147462384157242	0.866995154995693	0.566502422502154	0.999994336935075	0.993209027565146	4665	6192	0.0280483702450525	1	9.59646959237222	NA	7.34482924652966	9.79647930522243	0.0113964870389808	NA	0.0113964870389808	0.0113964870389808	NA	F	random_intercept
Tsfm	0.004284228379562	0.0254723655683363	0.168191225430886	-0.0460226428576906	0.0546778654769941	0.866533029113429	0.566733485443285	0.999994336935075	0.99345369255164	4664	6193	0.0282454658766653	1	9.00932226385319	8.91064587808742	8.88022854708863	8.66503116656851	0.004284228379562	0.004284228379562	0.004284228379562	0.004284228379562	NA	F	random_intercept
Serpinb1a	0.0142437755804898	0.0844723968393458	0.168620473828621	-0.152669788693562	0.181051591550496	0.866120048166672	0.566939975916664	0.999994336935075	0.993633774572971	4663	6194	0.0284222017444051	1	4.75084946467442	6.72226626615748	8.92777619252333	6.93293785097024	0.0142437755804898	0.0142437755804898	0.0142437755804898	0.0142437755804898	NA	F	random_intercept
Chac1	0.00790698558451725	0.046840322369399	0.168807240952785	-0.084626088748983	0.100409535397143	0.865961452933023	0.567019273533489	0.999994336935075	0.993633774572971	4662	6195	0.02849022348218	1	7.08640321033975	9.85290447169523	8.33321505656302	7.39890940439697	0.00790698558451725	0.00790698558451725	0.00790698558451725	0.00790698558451725	NA	F	random_intercept
Clec2e	0.00621341620069385	0.0365765583567486	0.169874271386921	-0.0660344151957171	0.0784520518001343	0.865118019657268	0.567440990171366	0.999994336935075	0.994212296530076	4661	6196	0.0288533784041647	1	5.25640852418917	6.69994250502996	4.74050895452949	5.37945138475695	0.00621341620069385	0.00621341620069385	0.00621341620069385	0.00621341620069385	NA	F	random_intercept
