# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Bbs5	-0.00588372040148104	0.0260282316419306	-0.226051484496648	-0.0572983768187231	0.0455204212501232	0.821179190513118	0.589410404743441	0.999994187184675	0.946427802229951	6165	4714	0.0510889197495601	1	8.58786530742693	9.93417038617997	9.34077690462346	8.26929474871528	-0.00588372040148104	-0.00588372040148104	-0.00588372040148104	-0.00588372040148104	NA	F	random_intercept
Ubc	-0.00519983207642732	0.0229662365995095	-0.226412022444216	-0.0505579566478991	0.040240226267527	0.821062044879164	0.589468977560418	0.999994187184675	0.946427802229951	6166	4713	0.0511570320098542	1	14.3455270376084	14.1543003383637	14.1462170394546	13.9540971309798	-0.00519983207642732	-0.00519983207642732	-0.00519983207642732	-0.00519983207642732	NA	F	random_intercept
Brwd1	-0.00645016465758352	0.0284973132845116	-0.226342904441073	-0.0627903821463553	0.0498238563689558	0.821012590903947	0.589493704548027	0.999994187184675	0.946427802229951	6167	4712	0.0511858004680334	1	10.0570053686548	10.4044277519116	10.1438482742401	10.0928691613726	-0.00645016465758352	-0.00645016465758352	-0.00645016465758352	-0.00645016465758352	NA	F	random_intercept
Sft2d1	-0.00676759377697573	0.0298965515204537	-0.226367036758259	-0.0658149188944193	0.0522837941913631	0.820934910312451	0.589532544843775	0.999994187184675	0.946427802229951	6168	4711	0.0512310061294414	1	10.1997701232768	10.486713576676	5.57197424626002	9.94365499255133	-0.00676759377697573	-0.00676759377697573	-0.00676759377697573	-0.00676759377697573	NA	F	random_intercept
Nfs1	-0.0052240065091463	0.023075822805091	-0.226384409053174	-0.050797771986755	0.0403578103776817	0.820923706277396	0.589538146861302	0.999994187184675	0.946427802229951	6169	4710	0.0512375279678849	1	10.3288242247657	10.1469918584903	10.6593797202645	9.73590139262296	-0.0052240065091463	-0.0052240065091463	-0.0052240065091463	-0.0052240065091463	NA	F	random_intercept
Celf2	-0.010624634431955	0.0468548227785092	-0.226756474614778	-0.10315640694236	0.0819356921776055	0.820638731801547	0.589680634099226	0.999994187184675	0.946427802229951	6170	4709	0.0514035575540248	1	12.6243845171505	10.5030378936937	11.7756022456471	12.7481103151451	-0.010624634431955	-0.010624634431955	-0.010624634431955	-0.010624634431955	NA	F	random_intercept
Atp6v1f	-0.00644233388042652	0.0283723112588648	-0.227064119720372	-0.0624900997691002	0.0495895786354914	0.820392882300948	0.589803558849526	0.999994187184675	0.946427802229951	6171	4708	0.0515470193511334	1	12.3999473181603	13.0048271736236	13.5196571093328	12.1483777358553	-0.00644233388042652	-0.00644233388042652	-0.00644233388042652	-0.00644233388042652	NA	F	random_intercept
Sarnp	-0.0175695889949159	0.0771385587682858	-0.227766622496703	-0.172049370528984	0.136473108296047	0.819927559085526	0.590036220457237	0.999994187184675	0.946427802229951	6172	4707	0.0518191273243112	1	10.6933504585345	NA	11.2839968508957	10.620756003017	-0.0175695889949159	NA	-0.0175695889949159	-0.0175695889949159	NA	F	random_intercept
Smpdl3a	-0.010129219150405	0.0444875817163698	-0.227686441015916	-0.0979847929372215	0.0777564533443806	0.819917334374377	0.590041332812812	0.999994187184675	0.946427802229951	6173	4706	0.0518251149081159	1	10.3947096303061	9.69898182440142	10.8231507184988	9.66941311027367	-0.010129219150405	-0.010129219150405	-0.010129219150405	-0.010129219150405	NA	F	random_intercept
2510039O18Rik	-0.00936649693922102	0.0411237348768927	-0.227763771147256	-0.0905976954203465	0.0718518381448561	0.819847794651897	0.590076102674051	0.999994187184675	0.946427802229951	6174	4705	0.0518658469738131	1	8.58238200740071	7.90060860487572	10.6820579194423	9.10745467082795	-0.00936649693922102	-0.00936649693922102	-0.00936649693922102	-0.00936649693922102	NA	F	random_intercept
