#2018-03-29
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results///platforms//GPL1261
#No probes removed from annotation.
#Expression data file: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259124436; Statistic: 10.6778138012394; Expected: 7.10935249061018; Std.dev: 1.0210957622975; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2018-03-29----Dataset: GSE48622
#Imported R objects: /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeN_dC_KO
#  DE genes: 254, up: 58, down: 196
#GSE48622_N_dC_KO: original input has 45101 probesets; mapped probesets: 29960; probes mapped to multiple genes to be removed (except for insulin): 631; genes with multiple probesets are BH corrected. New data has 17681 genes.
GSE48622_N_dC_KO	GeneSymbols
0.00480243704241172	Cgrrf1
0.00484231283534462	Sorbs3
0.00489021912914895	Cd164
0.00489283877280903	Psph
0.00489494017336492	Gltp
0.00490096266483699	Frrs1
0.00491254681147699	Dbi
0.00492899414110161	Plekha1
0.00495820484164245	Padi2
0.00496017516368849	Gpx8
0.00496477798642224	Mobp
0.00497986710897232	Trmt5
0.00499503003191526	Slc16a9
0.00499920216992188	Rilp
0.00500662128159713	Thbs1
0.00501188261994554	Fam217a
0.00501596815108812	Sema6a
0.00501822728752863	Myo6
0.00501912985239507	Rgs8
0.00509007341032359	Tppp3
0.00514818094605574	Tmod3
0.00518068229943495	Slc25a39
0.00523457987037793	Ttf2
0.00523896218012497	Plekhh1
0.00524986907275207	Elk3
0.00525864097656147	Clic4
0.0053003385178547	Clic1
0.00531955320440746	Trim13
0.00532287654488018	Nutf2
0.00532844707408284	Tmem63a
0.00532987560349831	Micall1
0.00534161094671401	Rhoc
0.00539171571613031	Sdc2
0.00541740765783833	Ctnnal1
0.00541863485192256	Tigd2
0.00545196319829866	Ninj2
0.00547118256631183	Lta4h
0.0054929844458286	Snx9
0.00549343905060851	Pbsn
0.00554863250640622	Tmc6
0.0055633279380872	Mitf
0.00556459960559458	Aif1
0.00563895603228877	Ccdc81
0.00565199653669614	Frmd4b
0.00566632828568318	Ift27
0.00569547600023601	Tmem88b
0.00570455862525107	Cpm
0.00577016137034885	1810041L15Rik
0.00577576897196755	Tnni1
0.00577764877997625	Traf3ip2
0.00579573338197409	Wscd1
0.00580612483480061	Thsd4
0.00584007788972317	Clec5a
0.00589689849068697	Arih1
0.0059044438440569	Ctla2b
0.00591235931326559	Pnp
0.00594876369205752	Tesc
0.00601771686918845	Il1rap
0.0060993228647151	Nrn1
0.00610327213881675	Lrrc20
0.0061266119485025	Tax1bp3
0.00615488695812032	Pds5b
0.00616013730698028	Gbp2
0.00616197282798143	Ccl12
0.00618741767221507	Rbpms2
0.00619049771939379	Vnn3
0.00625014939445196	Slc31a1
0.00625468370911381	Lgi3
0.00625742742589004	Tug1
0.00628124987112674	Cox7a1
0.00628610589913659	Marc2
0.00631083056800649	Man2b1
0.00633113427282628	Pafah1b2
0.00637383239389915	Id1
0.00637502867340001	P2ry13
0.00640882426069547	Pkn2
0.00643312794372444	Serinc2
0.00644198712578582	Sccpdh
0.00647793803635027	Glra1
0.00650337688919422	Cenpx
0.00650478255170166	Csrp2
0.00654062312108387	Mcoln1
0.00655033672659332	Smim5
0.00656375033224916	Cercam
