Sample	HippPDE9_TG_1	HippPDE9_TG_2	HippPDE9_TG_3	HippPDE9_TG_4	HippPDE9_TG_5	HippPDE9_TG_6	HippPDE9_TG_7	HippPDE9_TG_8	HippPDE9_WT_1	HippPDE9_WT_2	HippPDE9_WT_3	HippPDE9_WT_4	HippPDE9_WT_5	HippPDE9_WT_6	HippPDE9_WT_7	HippPDE9_WT_8	HippVeh_TG_1	HippVeh_TG_2	HippVeh_TG_3	HippVeh_TG_4	HippVeh_TG_5	HippVeh_TG_6	HippVeh_TG_7	HippVeh_TG_8	HippVeh_WT_1	HippVeh_WT_2	HippVeh_WT_3	HippVeh_WT_4	HippVeh_WT_5	HippVeh_WT_6	HippVeh_WT_7	HippVeh_WT_8	PfCPDE9_TG_1	PfCPDE9_TG_2	PfCPDE9_TG_3	PfCPDE9_TG_4	PfCPDE9_TG_5	PfCPDE9_TG_6	PfCPDE9_TG_7	PfCPDE9_TG_8	PfCPDE9_WT_1	PfCPDE9_WT_2	PfCPDE9_WT_3	PfCPDE9_WT_4	PfCPDE9_WT_5	PfCPDE9_WT_6	PfCPDE9_WT_7	PfCPDE9_WT_8	PfCVeh_TG_1	PfCVeh_TG_2	PfCVeh_TG_3	PfCVeh_TG_4	PfCVeh_TG_5	PfCVeh_TG_6	PfCVeh_TG_7	PfCVeh_TG_8	PfCVeh_WT_1	PfCVeh_WT_2	PfCVeh_WT_3	PfCVeh_WT_4	PfCVeh_WT_5	PfCVeh_WT_6	PfCVeh_WT_7	PfCVeh_WT_8
HippVeh_WT_1	0.983555316618222	0.988159535961287	0.993375763633704	0.990419654473943	0.987826276561609	0.979112513580047	0.98309855371519	0.991178828600615	0.990937108966056	0.985292586611481	0.980736641134437	0.985853698202465	0.990139068648829	0.984145634994333	0.987876222946046	0.986807125911404	0.992127564735938	0.989599820075008	0.988445306496389	0.993885849122355	0.99096399272516	0.987175386100667	0.987284473790872	0.987105921286893	NA	0.992349804650283	0.989314110731074	0.99301008981304	0.989198156819546	0.986422196049564	0.987549740773288	0.988470166400564	0.980203924175692	0.978251864577351	0.981242121955266	0.978911839815035	0.9833910917022	0.974924649050281	0.979355390527149	0.983550004927897	0.98175638509781	0.983096040196866	0.981260725973884	0.983197376226576	0.982481016566987	0.970235422151869	0.972566891522258	0.978727120427428	0.978644178916152	0.981346770655111	0.979819472111843	0.982532259029215	0.975209718499179	0.97245229175207	0.976631560626858	0.982658544838926	0.983357259036236	0.983340719474066	0.978483604473203	0.98268658053064	0.97823531368792	0.973950014483359	0.976163042861329	0.983196615759936
HippVeh_WT_2	0.980559908139566	0.993442915345042	0.993252250333932	0.99450083214595	0.989507836124265	0.986085214289172	0.989893850686237	0.991982673193658	0.992072123610954	0.99161606927405	0.987730121224753	0.992481828736207	0.995153915631924	0.98851731582313	0.991291587135843	0.992167127539968	0.992977464181658	0.992881237805711	0.990935682052667	0.994082507249487	0.993760499674158	0.989723676164428	0.990941823731373	0.991269096715742	0.992349804650283	NA	0.991302026414152	0.993676248227679	0.99394933803472	0.991348439627514	0.99270331838393	0.993269254416587	0.982090989015616	0.975173436959408	0.977546624042463	0.97758433419266	0.983113816422353	0.97716543109268	0.980574696799157	0.981970869276954	0.979091581346687	0.98100299791452	0.97989186197143	0.981619873972498	0.983246998613546	0.973738567046616	0.975011483762741	0.977660542982367	0.975893387451277	0.97973614576592	0.97897228764432	0.980228480652769	0.977329771770797	0.975332036208815	0.978198715229787	0.982598581221444	0.980866491667637	0.982833502723215	0.97977110037925	0.980619388555231	0.97935480323246	0.976056834152493	0.977871152244139	0.983295665608835
HippVeh_WT_3	0.982490900033908	0.99337126431418	0.990986805315669	0.98878379250631	0.993529857671541	0.992564423765891	0.992256538072964	0.994855727397004	0.994154963196496	0.994013442813523	0.991493108580026	0.993017580936139	0.991601087947564	0.994176952159232	0.995042906017109	0.992863579922748	0.9909801417856	0.991667266779212	0.993784771633361	0.991246032354813	0.993930462185445	0.993442917804587	0.994551558309043	0.992958020645566	0.989314110731074	0.991302026414152	NA	0.992046526340029	0.990703639098736	0.995116789706549	0.992217737172771	0.993263640457143	0.987223337742532	0.979042271789433	0.977018728790089	0.978802245210315	0.985136556124718	0.982982722415554	0.985936500371024	0.982464832810521	0.980335293018525	0.983579741234557	0.981901344401002	0.982115844166931	0.9859736343939	0.981888544549427	0.981979623583293	0.985583649710505	0.978569156671512	0.98148560770828	0.981818886514766	0.981216563772371	0.984285476908085	0.98400749619326	0.984946740788325	0.986367943722805	0.982829772029994	0.981264645728356	0.987780738583599	0.981606368985088	0.985715329582457	0.983313795972332	0.984580651939445	0.986329756317414
HippVeh_WT_4	0.984179713562752	0.991315371917637	0.994791193637838	0.992154268260751	0.988879570070956	0.98639768371146	0.987060787481076	0.992760999481393	0.993558621287339	0.989341112501996	0.98601155894866	0.989818519885378	0.992856103182916	0.988536671314684	0.991306472680373	0.991403468329884	0.993923216721254	0.989193856593917	0.989119446298809	0.992965630934095	0.99382465694277	0.988368886277023	0.990141411226114	0.989090325116234	0.99301008981304	0.993676248227679	0.992046526340029	NA	0.991849338160717	0.991113856419762	0.993412390288025	0.990788272658076	0.982449634894616	0.979160999137577	0.980815912429669	0.980601717728314	0.984431420722016	0.978244873451123	0.9811208253253	0.985876645418701	0.983294534810659	0.983749044690388	0.983535208990395	0.984597743507031	0.984250689951945	0.975051597908483	0.976144925187317	0.978901687690093	0.980760364400022	0.982833082890088	0.98132747019634	0.982710202657567	0.978459069209217	0.97509733581798	0.979643379184477	0.982697358688773	0.984529507164564	0.983937159627763	0.98160299529978	0.985210976215421	0.980370306707031	0.977215598061248	0.979793843678575	0.984356510971635
HippVeh_WT_5	0.977663517627315	0.991922629706567	0.990587810278285	0.993765187161424	0.991218508167445	0.988205073313244	0.991341926780781	0.990623866112402	0.990708971362496	0.992223712498786	0.989152197917797	0.992422892990282	0.995206374841293	0.99113309182466	0.992504885508573	0.993036184517442	0.989819545038036	0.989221204128567	0.988999661260156	0.990424686454416	0.993693688626607	0.990826981904356	0.991055943132773	0.991471275250666	0.989198156819546	0.99394933803472	0.990703639098736	0.991849338160717	NA	0.990427831145162	0.991326896575204	0.990871085541155	0.9800764278424	0.976853241470205	0.978294509729371	0.978187810648401	0.981484279080921	0.976880228129311	0.980028284811023	0.980489133321208	0.979155885657569	0.981985360822745	0.979385513900806	0.980431062058699	0.98101383753887	0.973958033030364	0.97507635387052	0.976197588073166	0.978645960467524	0.980872603064307	0.979700038819989	0.980794211987669	0.978016461234449	0.975153502036232	0.978011891825725	0.980777579231504	0.981453425094858	0.981163715291368	0.978815655648657	0.980642845557997	0.980191471388177	0.97553840755328	0.97589838957521	0.981727258432876
HippVeh_WT_6	0.980004675739256	0.994896400401564	0.990043214632791	0.990387237507587	0.991041899240627	0.992867462546507	0.992886267896116	0.993577302858766	0.992678827458433	0.994704681761348	0.992821367725006	0.99399332426533	0.991265843127053	0.993584853825897	0.993706890960594	0.993360478048575	0.991423113370314	0.991899976429565	0.993858841931807	0.990753392795721	0.992835127422606	0.991456901491431	0.993865895730681	0.991675782978769	0.986422196049564	0.991348439627514	0.995116789706549	0.991113856419762	0.990427831145162	NA	0.994290028474164	0.994232326160344	0.985864700652962	0.975373420093736	0.97312705083032	0.976549547486243	0.983750912005255	0.98238818955765	0.98445108144244	0.980570210046734	0.977636530870292	0.98010730996008	0.980027320795635	0.979780505762821	0.984211448433955	0.981977764783618	0.981484168145738	0.983339993843171	0.97517833754324	0.97779909731392	0.978860460690884	0.977522689093669	0.982711511548352	0.982502361217013	0.983994456982082	0.983998259583175	0.979976564793663	0.978103656322313	0.985312037770298	0.978998165186959	0.98349077407335	0.984325792349732	0.985033797921144	0.984505432501598
HippVeh_WT_7	0.981118965051843	0.993524166184715	0.991576136618235	0.992149077539919	0.989009775717122	0.991115613520477	0.990687170932637	0.992155136400544	0.992764632480293	0.992183907066947	0.990096403640476	0.992106633473969	0.992930892640783	0.990146847409032	0.992628978060831	0.993825060685683	0.992885950451303	0.989345159583735	0.989321381149071	0.99107324266645	0.993567749078039	0.988794160235277	0.991176314469233	0.990792462052316	0.987549740773288	0.99270331838393	0.992217737172771	0.993412390288025	0.991326896575204	0.994290028474164	NA	0.991563560776516	0.9826404852233	0.976399395377606	0.976790911996294	0.978626727486899	0.983313839613966	0.979684030108266	0.980860820051421	0.983556403921919	0.979932675945293	0.980422286840139	0.98192378623265	0.981708272917621	0.983002970785964	0.977538289604852	0.97772912572866	0.977307293779806	0.977394925228774	0.979695376144321	0.979411354554513	0.979458320444812	0.979683529149948	0.976728941148298	0.980005139511204	0.981769279703815	0.982111134987742	0.980985420701152	0.981440489584497	0.981517175596329	0.979818888145749	0.978484448562429	0.982142168510665	0.983125415294041
HippVeh_WT_8	0.978177964699728	0.995138327827943	0.989544408678479	0.990869932989358	0.989415036376157	0.989430962083356	0.991576949999287	0.991979827419828	0.991223511228042	0.993987502764586	0.991095163091604	0.99403927491233	0.991816704722458	0.990941254707774	0.991661183023988	0.992295108397452	0.991924862513564	0.993809655594832	0.993254745930287	0.992600080667396	0.991512227243393	0.991108384382631	0.992344891421074	0.991060244982662	0.988470166400564	0.993269254416587	0.993263640457143	0.990788272658076	0.990871085541155	0.994232326160344	0.991563560776516	NA	0.983078280205563	0.973233221023778	0.971786847556612	0.973862084207014	0.981670215219612	0.978702784413455	0.981711733930228	0.978243518053015	0.976047294705616	0.978769219697674	0.977576928973654	0.978107967492196	0.982399603504887	0.97744189439078	0.977935069391079	0.981418809214047	0.972789560989747	0.976187690119907	0.976717418094859	0.976349764774868	0.979147323536294	0.979837761087211	0.980878291676028	0.982379070391883	0.978294880381205	0.97737188906745	0.982545339162096	0.977218652727459	0.98149672997151	0.979803430235936	0.981385176080681	0.984114328222819
PfCPDE9_TG_1	0.984317349209056	0.983940878220612	0.984202447434755	0.978686746807597	0.986215830039164	0.982657142489611	0.983546249498694	0.988842755831026	0.988398789737558	0.985329878107916	0.982306617523383	0.984478748946271	0.980805383563588	0.984912182325339	0.985985894250048	0.982853056562263	0.981145033263424	0.981500204626871	0.986926109040127	0.981493387757382	0.985934347279308	0.983921608212568	0.985357202126692	0.984983772355333	0.980203924175692	0.982090989015616	0.987223337742532	0.982449634894616	0.9800764278424	0.985864700652962	0.9826404852233	0.983078280205563	NA	0.984001741139054	0.983806192954322	0.988808169590029	0.995095900187998	0.994970869308606	0.994245280217302	0.990118478821392	0.987699962272101	0.990948689037427	0.990631362296135	0.991311185616575	0.994616043251937	0.993167541022446	0.993860483540424	0.990847980640148	0.984088382201731	0.987975885040406	0.990120949388752	0.988681020228371	0.994695606501505	0.992617717138465	0.99532157185667	0.995454407465944	0.989681889996768	0.989948387316955	0.995639697841033	0.989160203363551	0.991950037485882	0.994535537945646	0.994545506217146	0.995152560226406
PfCPDE9_TG_2	0.98899339076847	0.97512693589986	0.981354471319975	0.972682951216101	0.982783567861945	0.973754655851167	0.976575493840287	0.980506641879884	0.983536200492225	0.976272768933647	0.972586335886074	0.97555466663389	0.975037576217071	0.978592790265458	0.981172765076952	0.977797864347084	0.976190915175954	0.972792323447981	0.975696738490965	0.976951172455415	0.979851948378081	0.980175356280949	0.97959575627653	0.980228517560159	0.978251864577351	0.975173436959408	0.979042271789433	0.979160999137577	0.976853241470205	0.975373420093736	0.976399395377606	0.973233221023778	0.984001741139054	NA	0.989151139951131	0.991269248594591	0.988035445940488	0.98473251824251	0.981657241048547	0.99027491307659	0.991724654322704	0.990847316531875	0.989927377294949	0.989966172007957	0.987272469214717	0.980823485714744	0.981265121544928	0.977020925935847	0.990878420641977	0.991737284394697	0.991313591365831	0.991654259314912	0.985698814803683	0.976895221195063	0.983689828608501	0.986429284833455	0.992035081469541	0.989594851869213	0.983821960968969	0.990629717071324	0.979197477458279	0.982069000336459	0.980701626259932	0.987644668732688
PfCPDE9_TG_3	0.98213321177001	0.974826046182531	0.984609995268591	0.974714684353639	0.982538073448421	0.969725274419738	0.974823691918266	0.9809842529715	0.983468389636685	0.974389921068824	0.970346785930845	0.97415737645513	0.976186132325722	0.976107344843044	0.979831550745071	0.9779866278907	0.976817337533266	0.971804486525995	0.974279704689893	0.978250661410933	0.980250748766296	0.978314270295404	0.977726121698527	0.979071925861095	0.981242121955266	0.977546624042463	0.977018728790089	0.980815912429669	0.978294509729371	0.97312705083032	0.976790911996294	0.971786847556612	0.983806192954322	0.989151139951131	NA	0.992998612078756	0.990383157167909	0.982090193936327	0.98368003056162	0.991701426412358	0.992668869670404	0.9942514552025	0.99088972023759	0.991879687687497	0.987960158527249	0.976185598769401	0.977945387695109	0.977291860621103	0.992032948024927	0.994034558518376	0.991293257957516	0.994497922227686	0.983600395695303	0.975773507128553	0.981839783525254	0.987766587090841	0.992127156239607	0.994218251073249	0.980820146636028	0.992412474754273	0.980681192716874	0.978464107940361	0.977293519311004	0.988055320509903
PfCPDE9_TG_4	0.98469328651854	0.976568490788647	0.984430578387139	0.974664232311536	0.983463722589442	0.97349948978845	0.978090551194814	0.98249486015191	0.98544963428937	0.977905312966407	0.974209567410865	0.977220696609252	0.97645853334304	0.97886006374336	0.981775426250134	0.980379250754594	0.977281158490918	0.972883517201003	0.976692081630052	0.977588681273383	0.981132838187941	0.979784489107758	0.979702068010361	0.981164477407915	0.978911839815035	0.97758433419266	0.978802245210315	0.980601717728314	0.978187810648401	0.976549547486243	0.978626727486899	0.973862084207014	0.988808169590029	0.991269248594591	0.992998612078756	NA	0.992946483109902	0.990743206685704	0.985396378397079	0.99499346213421	0.995349907807011	0.994410304000328	0.995417184833615	0.995421081789038	0.990983147765808	0.98575579057538	0.98715098710569	0.979302721750974	0.99380121088101	0.993851603247235	0.994883756754851	0.994662097421474	0.99051720347725	0.979467820263292	0.987960393629116	0.989962720159198	0.995387352209257	0.994718233011266	0.987320722619472	0.995130802636927	0.98160840111416	0.98673788910352	0.98501027937875	0.991401385852986
PfCPDE9_TG_5	0.98681492778366	0.983172468199499	0.987156221512984	0.981119984943015	0.986222611282835	0.978749015570906	0.982957176786841	0.988871745088158	0.989564505603013	0.983677044949245	0.980571786776666	0.983120088557851	0.981216658396503	0.983603088204958	0.98575105580718	0.983753633612727	0.982452994135558	0.980281664158703	0.984291976097764	0.982644790102156	0.986343760710248	0.983598543527784	0.984453300985543	0.985289541319163	0.9833910917022	0.983113816422353	0.985136556124718	0.984431420722016	0.981484279080921	0.983750912005255	0.983313839613966	0.981670215219612	0.995095900187998	0.988035445940488	0.990383157167909	0.992946483109902	NA	0.99304896022448	0.993562359047984	0.99392567159407	0.991715077720456	0.99403027983261	0.993688789979297	0.99409259731765	0.995069058809438	0.990201864362139	0.99120945209909	0.988186519599251	0.988508340095073	0.991851173428401	0.992410498605672	0.992727090889421	0.993163964753286	0.989563504696458	0.993530730410313	0.995939456925687	0.993379298641245	0.99411269075828	0.992784035011984	0.993289196017759	0.990701437897543	0.992255933928201	0.991716114626	0.996026292487949
