Sample	15m_hp_AD11_rep1	15m_hp_AD11_rep2	15m_hp_AD11_rep3	15m_hp_AD11_rep4	15m_hp_AD11_rep5	15m_hp_VH_rep1	15m_hp_VH_rep2	15m_hp_VH_rep3	15m_hp_VH_rep4	15m_hp_VH_rep5	1m_bfb_AD11_rep1	1m_bfb_AD11_rep2	1m_bfb_AD11_rep3	1m_bfb_AD11_rep4	1m_bfb_AD11_rep5	1m_bfb_VH_rep1	1m_bfb_VH_rep2	1m_bfb_VH_rep3	1m_bfb_VH_rep4	1m_bfb_VH_rep5	1m_ctx_AD11_rep1	1m_ctx_AD11_rep2	1m_ctx_AD11_rep3	1m_ctx_AD11_rep4	1m_ctx_AD11_rep5	1m_ctx_VH_rep1	1m_ctx_VH_rep2	1m_ctx_VH_rep3	1m_ctx_VH_rep4	1m_ctx_VH_rep5	1m_hp_AD11_rep1	1m_hp_AD11_rep2	1m_hp_AD11_rep3	1m_hp_AD11_rep4	1m_hp_AD11_rep5	1m_hp_VH_rep1	1m_hp_VH_rep2	1m_hp_VH_rep3	1m_hp_VH_rep4	1m_hp_VH_rep5	6m_bfb_AD11_rep1	6m_bfb_AD11_rep2	6m_bfb_AD11_rep3	6m_bfb_AD11_rep4	6m_bfb_AD11_rep5	6m_bfb_VH_rep1	6m_bfb_VH_rep2	6m_bfb_VH_rep3	6m_bfb_VH_rep4	6m_ctx_AD11_rep1	6m_ctx_AD11_rep2	6m_ctx_AD11_rep3	6m_ctx_AD11_rep4	6m_ctx_AD11_rep5	6m_ctx_VH_rep1	6m_ctx_VH_rep2	6m_ctx_VH_rep3	6m_ctx_VH_rep4	6m_ctx_VH_rep5	6m_hp_AD11_rep1	6m_hp_AD11_rep2	6m_hp_AD11_rep3	6m_hp_AD11_rep4	6m_hp_AD11_rep5	6m_hp_VH_rep1	6m_hp_VH_rep2	6m_hp_VH_rep3	6m_hp_VH_rep4	6m_hp_VH_rep5
1m_bfb_AD11_rep1	0.984032552181226	0.987834227992409	0.986054494338108	0.984628959482994	0.98851669746657	0.986601490684333	0.984275606308804	0.985571802861873	0.987679761033169	0.985578727249524	NA	0.988366123205624	0.996390716558425	0.993828501933015	0.98736501650306	0.990092706375516	0.994489091982649	0.989178642681482	0.994091369130095	0.99157159215581	0.99473007467378	0.99330843424621	0.99427319099425	0.99338445498066	0.993134933733568	0.99349239762035	0.993327821134332	0.993312441870957	0.991264771792714	0.993917106692189	0.987639655011661	0.990175054099867	0.989784939862416	0.988234077607718	0.980755510722801	0.987175138127682	0.991877040741532	0.990011867422989	0.989564323856573	0.988178483886881	0.991625600576342	0.992650025372617	0.991080963166178	0.989665532675549	0.989452035448136	0.992615679019677	0.990596583010863	0.989200949027024	0.985969645045353	0.990088084348264	0.991992325132855	0.991645618221625	0.992198724359005	0.992252705842629	0.992792962293253	0.992429173406797	0.978799496090109	0.989415565183582	0.990961200290996	0.985921347419263	0.987729561813549	0.98308983954587	0.985153802874572	0.984791617451088	0.984593727236528	0.987813022523523	0.986538863900814	0.9834581833033	0.985131720162045
1m_bfb_AD11_rep2	0.977835562967176	0.978480700598578	0.976106042276102	0.973484122079834	0.980280532474257	0.978061900692722	0.973076939708044	0.978412561881805	0.977897373042715	0.977117204645431	0.988366123205624	NA	0.985682792780556	0.981897965419685	0.980254362537944	0.982080187212513	0.986114874468023	0.980437347809946	0.983358747392254	0.980857265812151	0.981837934322133	0.982987568462779	0.985578201590682	0.980038063515181	0.982176381130079	0.982261228648634	0.982036357982722	0.981313204910275	0.981421167978915	0.981728199717375	0.990168305048172	0.978606846757294	0.985574925992589	0.978090360797204	0.9735778940561	0.977563994313412	0.982604773065121	0.978704561368081	0.981144344831217	0.98108854078079	0.980645034159147	0.980081155594833	0.98194779258665	0.982685279863797	0.977539923881409	0.98270811976093	0.980401597223929	0.977040143286233	0.979955613011519	0.985314357619456	0.984185174767384	0.98606249369064	0.983025908556233	0.98206672299354	0.982861091945159	0.982483725416915	0.981416753432517	0.978562045197622	0.978878135829494	0.978605365059593	0.9787707613826	0.977846991554092	0.981125344218195	0.982536604503496	0.978571648691841	0.981113441617034	0.981282936980298	0.974431521367989	0.975137581911724
1m_bfb_AD11_rep3	0.983504225097973	0.987476311538416	0.985634205907782	0.984685034719718	0.987896835646278	0.986452777932742	0.985601521802659	0.984791595120424	0.987876316805041	0.985885999646361	0.996390716558425	0.985682792780556	NA	0.994285996337652	0.986996986174624	0.989739467787597	0.994390377676423	0.98983980301766	0.994288722172701	0.992147745795574	0.993787363677577	0.991864183544406	0.993087072280726	0.991986451650713	0.990841325761745	0.991943560489136	0.9920194780799	0.993887409813289	0.990261469024977	0.993374065733084	0.986658003533395	0.991335080736259	0.991552570770751	0.988944428082971	0.980255994481482	0.98606069589847	0.990655797297331	0.989321146810868	0.98893317142926	0.985881402792328	0.989315131089687	0.990373227733341	0.989161991422332	0.986487279536967	0.986804495775286	0.99086403699392	0.988298701108536	0.987328808446401	0.985244392011476	0.98909934365707	0.991617381095253	0.990630772308459	0.991436754677829	0.992351451355605	0.992027110733365	0.991727102261737	0.976708095427055	0.988414091337161	0.990326830444172	0.985050307494955	0.987481035863157	0.982285229059831	0.984307053931442	0.983398449862956	0.983613923344973	0.987014588443584	0.985769516751054	0.982556200875136	0.98478746049718
1m_bfb_AD11_rep4	0.983528391782652	0.987246103944203	0.985349181334513	0.983622277350975	0.987782588603889	0.986090370882146	0.984985683860434	0.984652047545499	0.987014179900069	0.98472679483288	0.993828501933015	0.981897965419685	0.994285996337652	NA	0.988573863834357	0.995220018899146	0.992805828253934	0.994744565971189	0.995384183396546	0.995748936772733	0.993274182931999	0.991976548294043	0.993267522280835	0.993297563792422	0.991751942574785	0.992570442504906	0.990780070146774	0.993437007388621	0.989606897580657	0.992862408452097	0.983592895326417	0.995313723009792	0.988981453968267	0.990905589383576	0.983407151890884	0.988122386762575	0.989730141000745	0.989863278365726	0.988854733757834	0.985975908542835	0.989461234199691	0.991715301760462	0.988024479907896	0.991448624764438	0.986643583686835	0.99181691938245	0.991772602365286	0.992288094470164	0.988708560396304	0.987513356430081	0.989569398854751	0.99054797306396	0.992184252885009	0.992172247695799	0.991833585183014	0.991412700408504	0.97241290579026	0.987453161882049	0.989806782660951	0.985817959743629	0.987494203214577	0.986499769692655	0.985083214902488	0.984118539028931	0.983824995229481	0.985674528474344	0.985231749394597	0.984142211610297	0.98579385150694
1m_bfb_AD11_rep5	0.981210748099109	0.982377898022643	0.977696443280474	0.976598149074202	0.982672907391464	0.982206980736363	0.977867225715613	0.980278298031097	0.981205602773883	0.979041878705648	0.98736501650306	0.980254362537944	0.986996986174624	0.988573863834357	NA	0.985360215205512	0.988957567824523	0.986349245222366	0.988319551839908	0.98746481981127	0.987266123709784	0.988899222657927	0.988950552922369	0.988327174972433	0.99212323589713	0.988978554073385	0.987857819392838	0.989768860090337	0.984867354301003	0.988434558557531	0.983150918860103	0.985669798551079	0.984510818676419	0.986418637431138	0.987848740677729	0.982596686563328	0.984462762448333	0.983519457619253	0.982130318808639	0.982121095884841	0.98528398568692	0.9854635553524	0.985975368272968	0.984867000923801	0.983648137004796	0.987074304683769	0.98620004752503	0.98567767303405	0.988536172073045	0.985468995355898	0.985619359372867	0.987908171290163	0.988441492090389	0.988702426535504	0.988478595788265	0.989359657585865	0.970862648683737	0.984617517187947	0.986093613155312	0.985035133014658	0.985944395321505	0.983995949766913	0.984153282677992	0.983971036137944	0.982711058875954	0.983573618166374	0.984049299749255	0.98204628583604	0.983262380241987
1m_bfb_VH_rep1	0.981848063933612	0.984640898574362	0.982715356073291	0.980218031958268	0.985769547429213	0.98411640377616	0.983372213450948	0.984696564188728	0.985396509796418	0.983876402061179	0.990092706375516	0.982080187212513	0.989739467787597	0.995220018899146	0.985360215205512	NA	0.991512234168319	0.996405509667539	0.994120864459454	0.994169876302018	0.990266295909244	0.988219586344429	0.989921011337608	0.988561886400316	0.987689365612995	0.9896879421321	0.987614527029155	0.99039095371501	0.987378386255905	0.990126945209781	0.981846382085174	0.993485844353517	0.985676014123117	0.986541526055416	0.980878962784936	0.985862397132054	0.986424849498958	0.986985586278001	0.986529246404459	0.98455057812409	0.986941743402182	0.988889225435909	0.9852705985767	0.992604644502142	0.984478027340287	0.991223602060366	0.992297260005522	0.992291084365925	0.98832654447084	0.984699497662262	0.985709103314173	0.988153848476946	0.989657349328824	0.988360770727654	0.989653674113716	0.98922039313331	0.972125878895555	0.985493066384808	0.987496273888699	0.984483705872249	0.984941422942572	0.985888709726679	0.983421904709512	0.983328169127699	0.982323878643092	0.984362153338811	0.98463114118067	0.983338621556908	0.985087832997327
1m_bfb_VH_rep2	0.982668933189845	0.986018675138414	0.984328379276913	0.982879224579942	0.986843656181122	0.986108478703029	0.983333774414255	0.984715610807866	0.987158592345557	0.984741284451505	0.994489091982649	0.986114874468023	0.994390377676423	0.992805828253934	0.988957567824523	0.991512234168319	NA	0.99082327485868	0.995382545776374	0.991845291728206	0.99251178667042	0.991435541614266	0.992886820212502	0.991607246498278	0.992132179408252	0.993230118217217	0.993456179491615	0.994784368824045	0.991322682538344	0.994550226773533	0.988489142829797	0.989500101052127	0.98910010137071	0.988251865562919	0.981699396843402	0.985597474320119	0.990843685711558	0.988408280949987	0.988567170326074	0.987290488776148	0.988671436295924	0.989950346654649	0.989461002950006	0.98695190887113	0.985234083626136	0.99213143809038	0.990146490842711	0.988242552438596	0.987393193305985	0.990327945815702	0.991462192663307	0.991804470569881	0.991111606861325	0.99213979891587	0.99297316476808	0.992840022112692	0.981481321190734	0.98896629715449	0.990896829907492	0.985370681318644	0.987527393992333	0.982906179097691	0.985407489079042	0.98582316012893	0.985091284457311	0.988010804748939	0.987035562340328	0.983992622630031	0.985673411642738
1m_bfb_VH_rep3	0.981505168101021	0.983687449924997	0.981388422639815	0.980018462443555	0.985430295225368	0.983960882848713	0.982956506669964	0.984049759525861	0.984981509803303	0.982865599304145	0.989178642681482	0.980437347809946	0.98983980301766	0.994744565971189	0.986349245222366	0.996405509667539	0.99082327485868	NA	0.99376270927363	0.995012511857739	0.989604664726361	0.988293366505106	0.989301421420636	0.987084028233927	0.986101679597247	0.988757659173549	0.987135386336135	0.990145873780096	0.986537935472634	0.98952467588703	0.979978206276954	0.994446727033859	0.986975918117071	0.987073806907451	0.980751861145463	0.985841680050088	0.986129906824796	0.986920635150471	0.985633759839823	0.983798711063342	0.98495303724344	0.98677355899893	0.983051257399917	0.990644746189479	0.983275749282451	0.989770267366279	0.99088771034284	0.991211767394679	0.989551831203184	0.981397119093155	0.983309586453545	0.985687583200257	0.98972603802114	0.989046734815089	0.988869922176018	0.989358913309929	0.968227513386511	0.984405614767409	0.986654079936778	0.984164653015265	0.984598527049613	0.986323111122917	0.98225840766993	0.981255194315441	0.980886111779985	0.982882795730706	0.984239104891301	0.982785347958616	0.9841267922182
1m_bfb_VH_rep4	0.98343000299424	0.986996255719166	0.985986661840252	0.984150088202869	0.98805373590885	0.986948077764137	0.985456625106242	0.986058570606571	0.988682378529127	0.985856001555645	0.994091369130095	0.983358747392254	0.994288722172701	0.995384183396546	0.988319551839908	0.994120864459454	0.995382545776374	0.99376270927363	NA	0.993901228035567	0.992546808167548	0.991392130183981	0.992333083156625	0.99099121640258	0.990706228646516	0.992321569191839	0.991547932430162	0.99389858158221	0.989750096302435	0.99409623508514	0.985463207089911	0.992650687933635	0.988778920534443	0.989008946175498	0.982715890907434	0.987575928472156	0.990396426447338	0.989661943278074	0.989205340919398	0.986252326783251	0.989671102257199	0.991575556560078	0.988431240163202	0.989726312232013	0.987823973021361	0.991867402828676	0.991259921389525	0.991614814812819	0.988583442583902	0.988349938594936	0.989630932776386	0.990428713592891	0.992452019710173	0.991549794155492	0.991840224891379	0.991582867217877	0.974884695429456	0.987477133018443	0.990298851733618	0.986520750415276	0.988113345666158	0.984613178427848	0.985168989939441	0.984704509892695	0.984940902339987	0.987587426980815	0.986970261680119	0.985103752874762	0.987292305207538
1m_bfb_VH_rep5	0.982830656890697	0.985840514013605	0.982699186793183	0.981532815669595	0.986351308298756	0.985235079560381	0.984137963600957	0.984324578556972	0.985989848219473	0.984087262874183	0.99157159215581	0.980857265812151	0.992147745795574	0.995748936772733	0.98746481981127	0.994169876302018	0.991845291728206	0.995012511857739	0.993901228035567	NA	0.990799917433527	0.99111801676487	0.991592740652096	0.990311056086947	0.988825750942942	0.991983626278882	0.989904591209709	0.992334283401679	0.98832218232482	0.991517980720822	0.981863086399168	0.993902940198406	0.98767166326744	0.988360460770356	0.981594460238927	0.987666008683057	0.988595772202377	0.988853908142759	0.987487144315762	0.984960213898095	0.987862128848516	0.989470110132479	0.986453381415189	0.989818049140541	0.985128092001723	0.990855284221307	0.99136531290169	0.991288121837552	0.989613107699989	0.985388130656648	0.987266986832888	0.988440553434198	0.991101128524026	0.990918466493513	0.991195746379425	0.991272888501567	0.971496060487287	0.986454311727745	0.989018221183363	0.984642007009556	0.985634855539339	0.985906028547014	0.983632140980326	0.982561988858639	0.982457282677475	0.98435913806767	0.984570362044001	0.983410195519782	0.985504202464456
