# 2018-01-09
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	down_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	FE_Gender	Gender	ME_model
Zfp710	-0.0922417456875412	0.0251976535021514	-3.66072760226128	NA	NA	0.000375662833771032	0.000187831416885516	0.999999274831501	0.157163355408887	10846	11	12.649516426903	1	7.04115735512369	9.32243518386766	10.6756669219411	-0.0922417456875412	-0.0922417456875412	-0.0922417456875412	NA	NA	random_intercept
Arhgef3	-0.129782564755777	0.0354830279982099	-3.65759553447143	NA	NA	0.000379981821680901	0.00018999091084045	0.999999274831501	0.157163355408887	10845	12	12.6281461430186	1	9.2511513356922	12.6898836594822	9.46440041102739	-0.129782564755777	-0.129782564755777	-0.129782564755777	NA	NA	random_intercept
Tap2	-0.174739574982865	0.0479290383815068	-3.64579763925095	NA	NA	0.000395324843576562	0.000197662421788281	0.999999274831501	0.157163355408887	10844	13	12.5541619726537	1	6.23971504036922	8.56529677530931	6.3889849652353	-0.174739574982865	-0.174739574982865	-0.174739574982865	NA	NA	random_intercept
Atf5	-0.156990422234519	0.0432416168928618	-3.63054005643425	NA	NA	0.000416568819429744	0.000208284409714872	0.999999274831501	0.157163355408887	10843	14	12.4563695639141	1	7.89222821811416	9.49036184366715	10.9582263988078	-0.156990422234519	-0.156990422234519	-0.156990422234519	NA	NA	random_intercept
Pdia4	-0.182996805126669	0.0504626638924757	-3.62638019896439	NA	NA	0.00043431288340702	0.00021715644170351	0.999999274831501	0.157163355408887	10842	15	12.3784700489296	1	9.43439257098188	9.45536479533677	9.10278253971808	-0.182996805126669	-0.182996805126669	-0.182996805126669	NA	NA	random_intercept
Sc5d	-0.21584515534561	0.056707866177702	-3.80626480758823	NA	NA	0.000484199020638409	0.000242099510319204	0.999999274831501	0.16426451775158	10841	16	12.1755545577437	1	9.90776350507698	NA	9.90776350507698	-0.21584515534561	NA	-0.21584515534561	NA	NA	random_intercept
Oaf	-0.154782945548264	0.0434772560202129	-3.56009002675569	NA	NA	0.000536644609902021	0.000268322304951011	0.999999274831501	0.171347467208716	10840	17	11.9838200541216	1	8.15146397793517	6.82539709285061	8.0057463732022	-0.154782945548264	-0.154782945548264	-0.154782945548264	NA	NA	random_intercept
Wbp11	-0.131235175202598	0.0380061507193036	-3.45299833629147	NA	NA	0.000761254163696614	0.000380627081848307	0.999999274831501	0.229560422252512	10839	18	11.3333994764084	1	10.8074801336781	11.5886824036144	11.8376748653459	-0.131235175202598	-0.131235175202598	-0.131235175202598	NA	NA	random_intercept
Rnf166	-0.12467184178631	0.036668195420314	-3.39999938249598	NA	NA	0.000912219041266639	0.000456109520633319	0.999999274831501	0.260606576631332	10838	19	10.9977633478067	1	9.36312348248457	10.3445265184362	9.22391450600247	-0.12467184178631	-0.12467184178631	-0.12467184178631	NA	NA	random_intercept
Ccr5	-0.159853930944361	0.0472829793066591	-3.38079227003888	NA	NA	0.0009689686661616	0.0004844843330808	0.999999274831501	0.262978095996258	10837	20	10.8859423908135	1	6.2441712144925	7.51834234591489	6.88496310680029	-0.159853930944361	-0.159853930944361	-0.159853930944361	NA	NA	random_intercept
Mcur1	-0.137584785288934	0.0392455614994427	-3.50574128722525	NA	NA	0.00124753269086666	0.000623766345433331	0.999999274831501	0.30980193189686	10836	21	10.4185875785041	1	10.437915384869	NA	9.8415593401133	-0.137584785288934	NA	-0.137584785288934	NA	NA	random_intercept
2210015D19Rik	-0.2728203705578	0.0788122462444722	-3.46164947147329	NA	NA	0.00129911170031267	0.000649555850156334	0.999999274831501	0.30980193189686	10835	22	10.343787544517	1	7.7567981664145	NA	8.164081480971	-0.2728203705578	NA	-0.2728203705578	NA	NA	random_intercept
Decr1	-0.135094162531397	0.0410461189590757	-3.29127737182874	NA	NA	0.00131272005041042	0.000656360025205211	0.999999274831501	0.30980193189686	10834	23	10.3245536244708	1	8.26085573798621	7.58422729838311	5.93406801414322	-0.135094162531397	-0.135094162531397	-0.135094162531397	NA	NA	random_intercept
Wipf2	-0.107009841349787	0.0328413711562836	-3.25838531042309	NA	NA	0.00145126579737809	0.000725632898689046	0.999999274831501	0.328227947840345	10833	24	10.1394865734331	1	10.21445530552	11.0752092037522	9.99373348840975	-0.107009841349787	-0.107009841349787	-0.107009841349787	NA	NA	random_intercept
Kcnab2	-0.157665346453562	0.0490527647900742	-3.21419897794356	NA	NA	0.0016700429687369	0.000835021484368449	0.999999274831501	0.349931827216128	10832	25	9.88088828283117	1	12.0056103147226	13.6280354697581	12.2459420980305	-0.157665346453562	-0.157665346453562	-0.157665346453562	NA	NA	random_intercept
Sox18	-0.173777906414095	0.0540740629974775	-3.21370166732619	NA	NA	0.0016761657162158	0.000838082858107898	0.999999274831501	0.349931827216128	10831	26	9.87415484928724	1	8.02949838813684	8.33953368537543	7.75500796620233	-0.173777906414095	-0.173777906414095	-0.173777906414095	NA	NA	random_intercept
Batf3	-0.190090263902919	0.0596357731002995	-3.18752074502686	NA	NA	0.00181386365595424	0.00090693182797712	0.999999274831501	0.364653774982208	10830	27	9.72896737083475	1	5.7202648531989	6.56616483998422	6.07374748771346	-0.190090263902919	-0.190090263902919	-0.190090263902919	NA	NA	random_intercept
Nupl2	-0.0812841789603538	0.0258686409429607	-3.14218977098882	NA	NA	0.00210318857568625	0.00105159428784313	0.999999274831501	0.397023964134486	10829	28	9.45722636423372	1	6.20064140841258	9.00525801649171	6.60357576142048	-0.0812841789603538	-0.0812841789603538	-0.0812841789603538	NA	NA	random_intercept
Bcl7b	-0.123829439356579	0.0398271015428538	-3.10917527411174	NA	NA	0.00235629811126997	0.00117814905563499	0.999999274831501	0.397023964134486	10828	29	9.24895527744486	1	8.49410363209615	7.63430451327119	7.22602220043179	-0.123829439356579	-0.123829439356579	-0.123829439356579	NA	NA	random_intercept
Ripk3	-0.14339213475358	0.0465033740934552	-3.08347808194333	NA	NA	0.00252083753311602	0.00126041876655801	0.999999274831501	0.397023964134486	10827	30	9.12540731764585	1	5.11346187969988	6.4325062987926	5.26509286592591	-0.14339213475358	-0.14339213475358	-0.14339213475358	NA	NA	random_intercept
Rapgef4	-0.20485831126354	0.0664030509299677	-3.08507377890806	NA	NA	0.00252314739414015	0.00126157369707008	0.999999274831501	0.397023964134486	10826	31	9.12373176891577	1	11.6023785179108	11.4187510582584	8.22790026565071	-0.20485831126354	-0.20485831126354	-0.20485831126354	NA	NA	random_intercept
Tmem151b	-0.187926883431463	0.0606926677507508	-3.09636881020341	NA	NA	0.00254326524167522	0.00127163262083761	0.999999274831501	0.397023964134486	10825	32	9.10920398413181	1	10.0235572637853	6.77120660419981	NA	-0.187926883431463	-0.187926883431463	NA	NA	NA	random_intercept
Ecsit	-0.14540854370221	0.0472411657992489	-3.0780049823521	NA	NA	0.00256597088899074	0.00128298544449537	0.999999274831501	0.397023964134486	10824	33	9.09294692064089	1	9.05672496238962	10.0889410757032	11.8162016581817	-0.14540854370221	-0.14540854370221	-0.14540854370221	NA	NA	random_intercept
Calm3	-0.0882436199826368	0.0286857037260116	-3.07622294455406	NA	NA	0.0025900143028476	0.0012950071514238	0.999999274831501	0.397023964134486	10823	34	9.07589043962133	1	14.3578325871934	14.7417541552099	13.5770086867175	-0.0882436199826368	-0.0882436199826368	-0.0882436199826368	NA	NA	random_intercept
