# 2018-01-31
#####
# DISEASE: AD
#####
# PHASE: early
# File dir: C:/AD/files_results/AD_mouse_model_project/MGP_estimation//early/2017-01-31
# PHASE: late
# File dir: C:/AD/files_results/AD_mouse_model_project/MGP_estimation//late/2017-01-31
cell_type	geneSymbol	rotation	var_explained	disease	phase	marker_order	WT	Disease	D_WT_rot_diff
DentateGranule	St8sia4	-0.0409350858568204	0.01013	AD	early	17	-0.0283608407964564	-0.0614170000158429	-0.0330561592193865
DentateGranule	Npy5r	0.289976469682839	0.00871	AD	early	18	0.22477589013128	0.296989842861343	0.072213952730063
DentateGranule	Pter	0.140354660358973	0.00699	AD	early	19	0.117060046286406	0.132284420756992	0.015224374470586
DentateGranule	Dsg2	0.105908063751658	0.0039	AD	early	20	0.0922225844299311	0.118955283270287	0.0267326988403559
GabaSSTReln	Npy	0.0285865729559683	0.19349	AD	early	1	0.124571716225536	-0.251289695599924	-0.37586141182546
GabaSSTReln	Klf5	0.247779621967253	0.14902	AD	early	2	0.238803616748538	0.0604235445679927	-0.178380072180545
GabaSSTReln	Ramp3	0.139145751708677	0.09053	AD	early	3	0.141852292238526	0.0582280248837007	-0.0836242673548253
GabaSSTReln	Tenm1	0.190543478159929	0.0666	AD	early	4	0.181297944638724	0.0701372088821488	-0.111160735756575
GabaSSTReln	Cort	-0.0113305380676119	0.0597	AD	early	5	0.17005929678153	-0.25617940631233	-0.42623870309386
GabaSSTReln	Dlx1	0.065131893901759	0.05314	AD	early	6	0.145984624755781	-0.0484181871984214	-0.194402811954202
GabaSSTReln	Nnmt	0.131345213234759	0.04153	AD	early	7	0.15066618665041	-0.0348966665811949	-0.185562853231605
GabaSSTReln	Moxd1	0.0629968509782332	0.03815	AD	early	8	0.0907283354840498	-0.0937257242646301	-0.18445405974868
GabaSSTReln	Ptprt	0.176399878643746	0.03519	AD	early	9	0.122437329101464	0.16338791244131	0.040950583339846
GabaSSTReln	Lgals1	-0.128611023347214	0.02543	AD	early	10	-0.052985142648858	-0.202029251558089	-0.149044108909231
GabaSSTReln	Olfm3	0.198721159649649	0.02345	AD	early	11	0.136524952767195	0.199663398320734	0.063138445553539
GabaSSTReln	Nefh	0.00291219800369534	0.02021	AD	early	12	-0.1052995267703	0.211506643693707	0.316806170464007
GabaSSTReln	Rpp25	0.183350582191677	0.01849	AD	early	13	0.215292551035477	0.116053856912736	-0.099238694122741
GabaSSTReln	Pvalb	0.0352789213887599	0.01551	AD	early	14	0.0734255410393455	0.068840047895672	-0.0045854931436735
GabaSSTReln	Reln	0.265064529270279	0.0152	AD	early	15	0.249470979757685	0.0898698333478185	-0.159601146409867
GabaSSTReln	Cdh13	0.312248049713337	0.01413	AD	early	16	0.275303083644728	0.211448019241309	-0.063855064403419
GabaSSTReln	Gna14	-0.113660293806168	0.01368	AD	early	17	-0.0819430460358802	-0.0270329180902916	0.0549101279455886
GabaSSTReln	Igfbp4	-0.0916956098578413	0.01163	AD	early	18	0.0169636391134982	-0.25557904430258	-0.272542683416078
GabaSSTReln	Slc8a1	0.0905158449281674	0.01092	AD	early	19	0.0818218654848726	-0.0637602038948612	-0.145582069379734
GabaSSTReln	Il34	0.0577134248171255	0.01027	AD	early	20	0.182513612194592	-0.197835577647441	-0.380349189842033
GabaSSTReln	Ache	0.136514408358391	0.00967	AD	early	21	0.0791517998015627	0.274045710508089	0.194893910706526
GabaSSTReln	Camk1g	0.203316830729224	0.00924	AD	early	22	0.226058156556171	0.0702223692905987	-0.155835787265572
GabaSSTReln	Slc32a1	0.168520190559587	0.00771	AD	early	23	0.165132435514898	0.267134877041443	0.102002441526545
GabaSSTReln	Entpd4	0.0301960048430546	0.00681	AD	early	24	0.0496035566200105	-0.0110333795047807	-0.0606369361247912
GabaSSTReln	Cacng2	0.10005264684901	0.00637	AD	early	25	0.124504343200786	-0.024548307373094	-0.14905265057388
GabaSSTReln	Sst	0.043766859425308	0.0062	AD	early	26	0.0846049703566519	-0.100752387020714	-0.185357357377366
GabaSSTReln	Cygb	-0.0338088017938903	0.00587	AD	early	27	-0.0251520124501352	0.0718768514017544	0.0970288638518896
GabaSSTReln	Nxph1	0.281424082175902	0.00516	AD	early	28	0.26457245593963	0.270610945271914	0.00603848933228396
GabaSSTReln	Slc27a2	0.179452528087684	0.00486	AD	early	29	0.153651686204158	0.238981552145004	0.085329865940846
GabaSSTReln	Rph3a	0.0482270671031881	0.00416	AD	early	30	-0.00514058270702815	0.0280330243976834	0.0331736071047116
GabaSSTReln	Alk	0.260163716747817	0.00396	AD	early	31	0.229755450584651	0.274080976653391	0.04432552606874
GabaSSTReln	Kcnc1	0.0492533155048944	0.00349	AD	early	32	0.115193002707102	-0.0720469601515375	-0.18723996285864
GabaSSTReln	Sez6	0.172357835596952	0.00309	AD	early	33	0.216900618284196	-0.0500371746771414	-0.266937792961337
GabaSSTReln	Slc38a1	0.0949903298013246	0.00296	AD	early	34	0.125890000969671	-0.0373044919103559	-0.163194492880027
GabaSSTReln	Syngr1	0.19495541442581	0.00274	AD	early	35	0.133854674125704	0.133999830310833	0.000145156185129003
GabaSSTReln	Slc1a6	0.0840809609323474	0.00233	AD	early	36	0.119707037744667	0.0103143540839466	-0.10939268366072
GabaSSTReln	Socs5	-0.0416618549132806	0.00196	AD	early	37	-0.104959911377872	0.0755258012700013	0.180485712647873
GabaSSTReln	Gp5	-0.0853645206994446	0.00185	AD	early	38	-0.0060054752120953	-0.0438871086548648	-0.0378816334427695
GabaSSTReln	Elavl2	0.256827322730915	0.00162	AD	early	39	0.232518121857527	0.203290710981237	-0.02922741087629
GabaSSTReln	Rgs8	-0.0979197412907454	0.00145	AD	early	40	-0.123049908663917	0.0820023613269412	0.205052269990858
GabaSSTReln	Clstn3	0.279908033414016	0.00123	AD	early	41	0.239975118807912	0.240819418610037	0.000844299802124998
GabaSSTReln	Lynx1	-0.0313199155742026	0.00102	AD	early	42	-0.0770031713105916	-0.00696177727626255	0.070041394034329
Microglia	H2-Ab1	0.0836945345840212	0.12848	AD	early	1	0.165305434797447	0.0443467486956223	-0.120958686101825
Microglia	Zfhx3	-0.0135942463082062	0.09499	AD	early	2	0.14422386461068	-0.0703599763717913	-0.214583840982471
Microglia	Alas2	0.0571442584300049	0.07753	AD	early	3	0.0266911177284445	0.0636203514534283	0.0369292337249838
Microglia	Casp1	-0.0533789036184009	0.06267	AD	early	4	-0.0839176894601552	-0.0350076512364804	0.0489100382236748
Microglia	Grn	0.0173557680671697	0.05276	AD	early	5	-0.051089815023908	0.0440595892987067	0.0951494043226147
Microglia	Adgre1	0.0263718256785049	0.04556	AD	early	6	0.0858058215452321	0.0187391574034373	-0.0670666641417948
Microglia	Junb	-0.0682583714738122	0.03743	AD	early	7	-0.15728850317859	0.00612221297647602	0.163410716155066
Microglia	Myo1b	-0.1329273555648	0.02693	AD	early	8	-0.06396640378617	-0.118890117776228	-0.054923713990058
Microglia	Golm1	0.100215660145781	0.02426	AD	early	9	0.0770640637158055	0.0929017327974157	0.0158376690816102
Microglia	Clic1	0.0655129766334119	0.0241	AD	early	10	0.124942664032051	0.0646410761749497	-0.0603015878571013
Microglia	Fcrls	0.0686761008928347	0.02129	AD	early	11	0.0344765506105143	0.0804547855888577	0.0459782349783434
Microglia	Mef2a	-0.0109537014811372	0.01879	AD	early	12	-0.0187704275361189	-0.0184682809651974	0.000302146570921497
Microglia	Klf2	-0.0218545938217666	0.0169	AD	early	13	-0.0823745774042001	0.0121826935046415	0.0945572709088416
Microglia	Tfpi	-0.0287044197108521	0.01648	AD	early	14	0.0452015061188997	-0.0311519393202952	-0.0763534454391949
Microglia	Mrc1	-0.0552864824943638	0.01554	AD	early	15	0.0309390723358771	-0.0953841715321788	-0.126323243868056
Microglia	Hcls1	0.136791970587446	0.01472	AD	early	16	-0.030129873372018	0.166199547327237	0.196329420699255
Microglia	F11r	0.0902247252172183	0.01385	AD	early	17	0.149792470020688	0.0645383302924646	-0.0852541397282234
Microglia	Ly86	0.141286189240688	0.01348	AD	early	18	0.157116012852253	0.12090528752452	-0.036210725327733
Microglia	Emp3	0.0380030754385609	0.01311	AD	early	19	0.0871942165521563	0.0308179976218868	-0.0563762189302695
Microglia	Tcn2	0.0805733459266534	0.01294	AD	early	20	0.196476787636226	0.0484546849608141	-0.148022102675412
Microglia	Ptgs1	-0.0039491832256142	0.01177	AD	early	21	0.0525918388531941	-0.0419530594239868	-0.0945448982771809
Microglia	Adap2	0.0114910636783327	0.01131	AD	early	22	-0.0140070478257085	0.000202648780457448	0.0142096966061659
Microglia	Cd52	0.196168445567492	0.01103	AD	early	23	0.157990258690752	0.194781941217612	0.03679168252686
Microglia	Crybb1	0.114476668671761	0.01062	AD	early	24	-0.0609922643933653	0.145338605834921	0.206330870228286
Microglia	Ehbp1l1	-0.0350943506342142	0.01014	AD	early	25	-0.157168398706568	0.0108852566775967	0.168053655384165
Microglia	Klf6	-0.123016296134764	0.00968	AD	early	26	-0.0326156194203834	-0.138933976316708	-0.106318356896325
Microglia	Cd34	-0.00498582044921705	0.00943	AD	early	27	-0.0443072903900846	0.0373315490556686	0.0816388394457532
Microglia	Lcp1	0.0812498226532482	0.00894	AD	early	28	0.063005839225237	0.0670301266967659	0.0040242874715289
