# 2018-03-29
geneSymbol	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	up_pval	up_padj	down_padj	up_rank	down_rank	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE36237_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Abcf3	0.0738334033054126	0.019936750258192	3.70338206323644	NA	NA	0.000329832416219411	0.000164916208109706	0.102482495726067	0.99999999767629	17	10862	12.8928917823236	1	9.16804961743999	10.834963176932	9.35257010896199	0.0738334033054126	0.0738334033054126	0.0738334033054126	NA	NA	random_intercept
Fdps	0.170061152068011	0.0460146576437874	3.69580391936202	NA	NA	0.000339158838585992	0.000169579419292996	0.102482495726067	0.99999999767629	18	10861	12.8407103255418	1	10.4547360159556	11.5227206135129	10.1857495295904	0.170061152068011	0.170061152068011	0.170061152068011	NA	NA	random_intercept
Slc29a1	0.141345429103872	0.039176337269921	3.60792863636066	NA	NA	0.000459857622776251	0.000229928811388125	0.131640295277896	0.99999999767629	19	10860	12.2717873544641	1	6.31504366429315	8.84683076170719	6.66980998874244	0.141345429103872	0.141345429103872	0.141345429103872	NA	NA	random_intercept
Fam229b	0.126573189283931	0.0355012254064693	3.56531888222838	NA	NA	0.000530945156317154	0.000265472578158577	0.141675949403177	0.99999999767629	20	10859	12.0037182062002	1	8.2253786086313	9.79182614498953	7.43466627747503	0.126573189283931	0.126573189283931	0.126573189283931	NA	NA	random_intercept
Tecr	0.107310174455036	0.0300842854192446	3.56698432286482	NA	NA	0.000547011387657055	0.000273505693828527	0.141675949403177	0.99999999767629	21	10858	11.9481680558934	1	13.0504183066911	13.4571623404627	13.4243230704469	0.107310174455036	0.107310174455036	0.107310174455036	NA	NA	random_intercept
Glra2	0.25553752527691	0.0722683246326809	3.53595474332266	NA	NA	0.000585442918748956	0.000292721459374478	0.144737456139799	0.99999999767629	22	10857	11.8217028894215	1	8.21814613472938	9.37847147300654	5.63564604652376	0.25553752527691	0.25553752527691	0.25553752527691	NA	NA	random_intercept
Inpp5e	0.0929391410428201	0.0264738838010185	3.51059715081338	NA	NA	0.000641189195451134	0.000320594597725567	0.15162730582864	0.99999999767629	23	10856	11.6524243230924	1	7.08121586005376	9.23201588051345	7.93555505706809	0.0929391410428201	0.0929391410428201	0.0929391410428201	NA	NA	random_intercept
Gpr162	0.107249794174617	0.0306762993494332	3.49617771534095	NA	NA	0.000671936349929645	0.000335968174964822	0.152277575302806	0.99999999767629	24	10855	11.5653114334187	1	10.8579844940295	10.424289079279	11.8060776695365	0.107249794174617	0.107249794174617	0.107249794174617	NA	NA	random_intercept
Sphk2	0.114782724771702	0.0330125945716985	3.4769374010398	NA	NA	0.000717067888388036	0.000358533944194018	0.156005289797701	0.99999999767629	25	10854	11.4444776238573	1	7.22087293947127	9.93146118137538	7.35787461190368	0.114782724771702	0.114782724771702	0.114782724771702	NA	NA	random_intercept
Wnk3	0.112143618971188	0.0295901674974455	3.78989470001712	NA	NA	0.000773937142734311	0.000386968571367156	0.15971694365613	0.99999999767629	26	10853	11.3027179268978	1	9.35537768189392	NA	9.47851693205731	0.112143618971188	NA	0.112143618971188	NA	NA	random_intercept
