# 2018-01-09
# ../files_results/AD_mouse_model_project//mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//early//run1/
geneSymbol	up_pval	down_pval	up_padj	down_padj	up_rank	down_rank	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	chisq	chi_df	GSE64398_intercept	GSE63617_intercept	GSE36237_intercept	GSE64398_FE_Disease	GSE63617_FE_Disease	GSE36237_FE_Disease	FE_Gender	Gender	ME_model
Cmc1	0.291314287075913	0.708685712924087	0.979797600696378	0.999999991885596	3220	7637	0.018699407447965	0.0340034941824767	0.54992605605813	NA	NA	0.582628574151826	0.302004380779948	1	10.348243031787	8.0106754665031	7.15416545527324	0.018699407447965	0.018699407447965	0.018699407447965	NA	NA	random_intercept
Cmc2	0.314678880450829	0.685321119549171	0.982730693550734	0.999999991885596	3470	7387	0.0254666106130469	0.0527381904914361	0.482887455480337	NA	NA	0.629357760901658	0.232932686144288	1	5.83513058918757	8.60474868720182	8.28315069681754	0.0254666106130469	0.0254666106130469	0.0254666106130469	NA	NA	random_intercept
Cmip	0.229620752657528	0.770379247342472	0.952892346532597	0.999999991885596	2612	8245	0.0843589382308604	0.113524876674105	0.743087688815811	NA	NA	0.459241505315055	0.547742675552584	1	NA	12.1802238987431	12.4016834260445	NA	0.0843589382308604	0.0843589382308604	NA	NA	random_intercept
Cml1	0.401504027884545	0.598495972115455	0.999996143185094	0.993885132202614	4324	6533	0.00989304279612159	0.0396528607011182	0.249491275564958	NA	NA	0.80300805576909	0.0622283064916402	1	9.09324481434531	10.1459035194695	6.73643893589245	0.00989304279612159	0.00989304279612159	0.00989304279612159	NA	NA	random_intercept
Cmpk1	0.263112808578713	0.736887191421287	0.96633046178876	0.999999991885596	2946	7911	0.0344757229045993	0.0543475172225989	0.634356906561014	NA	NA	0.526225617157426	0.401674738690417	1	11.0297938165379	9.16120993872907	11.9998298820017	0.0344757229045993	0.0344757229045993	0.0344757229045993	NA	NA	random_intercept
Cmpk2	0.0464653966143925	0.953534603385607	0.803039294204481	0.999999991885596	627	10230	0.0812031100025874	0.0480219647998129	1.69095767616122	NA	NA	0.092930793228785	2.82285809693042	1	9.16014400566705	7.43051981266131	7.67716852141592	0.0812031100025874	0.0812031100025874	0.0812031100025874	NA	NA	random_intercept
Cmss1	0.0947963393544426	0.905203660645557	0.880815062891204	0.999999991885596	1168	9689	0.0614376421931658	0.046652083216066	1.31693244883881	NA	NA	0.189592678708885	1.72077995405812	1	8.27262107557652	9.25622092704522	7.31056030632755	0.0614376421931658	0.0614376421931658	0.0614376421931658	NA	NA	random_intercept
Cmtm3	0.29647053269426	0.70352946730574	0.979797600696378	0.999999991885596	3282	7575	0.018663044745153	0.0348890393399137	0.534925727341599	NA	NA	0.59294106538852	0.285774618761302	1	9.07631118083914	7.68202272595553	6.13008448921328	0.018663044745153	0.018663044745153	0.018663044745153	NA	NA	random_intercept
Cmtm4	0.443133184283759	0.556866815716241	0.999996143185094	0.990630492780078	4757	6100	0.00615968541543741	0.0430636384911621	0.143036808575791	NA	NA	0.886266368567519	0.0204576242317245	1	7.31617924722619	5.57752777276597	10.8979392178011	0.00615968541543741	0.00615968541543741	0.00615968541543741	NA	NA	random_intercept
Cmtm5	0.168150253750491	0.831849746249509	0.92534972519478	0.999999991885596	1971	8886	0.0398567936169167	0.0413657569416171	0.96352143811051	NA	NA	0.336300507500981	0.92448346672488	1	11.4306947527994	11.5476237307352	10.9486412144126	0.0398567936169167	0.0398567936169167	0.0398567936169167	NA	NA	random_intercept
