#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259135405; Statistic: 10.6778138012036; Expected: 7.10935249061112; Std.dev: 1.02109576229459; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE48622
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeN_dC_KO
#  DE genes: 254, up: 58, down: 196
#GSE48622_N_dC_KO: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE48622_N_dC_KO	GeneSymbols
0.0136657677478822	Ccdc67
0.013691255113417	Klhl32
0.0137441462476834	4921501E09Rik
0.0138086644762295	Izumo1r
0.0138141851923698	Tmc2
0.013823666055969	Ccdc88a
0.0138244262541714	Lhfpl4
0.0138499737873245	1700016P04Rik
0.0139773716819777	Igfbpl1
0.014032353550181	Cspg5
0.0140396208064502	Ugcg
0.0140633558221528	Crb1
0.0140927804940727	Rfx7
0.0141154589212704	Acot12
0.0141173927715662	Paqr6
0.0141637458271892	Runx2
0.0141642331402649	Lrp8
0.0141805037312421	Fmn2
0.014191084199489	Kif1a
0.0142226238925409	Kmt2b
0.0143088829556381	Gpr176
0.0143177745268241	H1fx
0.0143369258373632	4930506M07Rik
0.0143545178447013	1700011L22Rik
0.0144277961700507	Gng3
0.0144669889923302	Grik5
0.014498890385128	Dnmt3a
0.0145219707718837	Dlx2
0.0145245896355852	Csrnp2
0.0146935203753079	Iqcf1
0.014741028587562	Chd3
0.0148801621223983	Vstm5
0.0149676651552276	Dmrtc2
0.014976409857932	Gckr
0.0150474497211604	Asap1
0.0150668530377859	Arl8a
0.0150812312874599	Cacna1a
0.0151526736075447	Fam110c
0.0151974238180022	Kmt2a
0.0152476218190444	Msantd2
0.0153081384294383	Tecrl
0.0153243942304905	Ctxn3
0.0153825630710976	Cmklr1
0.015391163987128	Gria3
0.0154124053565948	Ttll4
0.0154543987755791	Trim67
0.0155020199152255	Psmb11
0.0155031540570926	Nxpe3
0.0155401447927178	Prdm6
0.0155774201389407	Rps6kb1
0.0157375107067893	Cd1d1
0.0157693000099406	Cfd
0.0157956602269106	Ice1
0.0159125103650382	Csdc2
0.0159137794050424	Acad9
0.0159542815192362	R3hdm2
0.0159587283741559	Prr15l
0.0160127620263916	Cx3cl1
0.0160291666339812	Fpr1
0.016050201176199	Fam170b
0.016077051202565	4931406H21Rik
0.0161749013573011	Cdh7
0.0162967171405364	Cntnap4
0.0163930508664919	Cyyr1
0.0164176783295329	Lrrc26
0.0164297098041944	Myoz3
0.0164551732254586	Heatr5a
0.0164761108153133	Heatr5b
0.0165186139175093	Traf5
0.0165561751117536	Epha5
0.0166821790497588	Ago2
0.016715912259616	Dpysl3
0.0167873813498097	Lpin2
0.0168472618137288	Chl1
0.0168536909874689	Slc34a1
0.0168998359384103	Plcxd3
0.0169168047076581	Eme1
0.0169743241004847	Tbr1
0.0169750032153584	Mmp9
0.0170105737351356	Kcnc1
0.0170805361882505	Pcdh15
0.0170856554080898	Slc7a14
0.017091999267565	Kif21b
0.0170968560591486	Klc2
0.0171357362627925	Slc22a3
0.017138583413247	Gm15941
0.0171395707242469	Npy
0.0172585932892996	Ttll3
0.0173267799891687	Mb
0.0173310466013699	Stx1a
0.017374503160137	4931423N10Rik
0.017380647987331	Crtc2
0.0174033146620597	Smco2
0.0174370441385084	Kcnn2
0.0174386859883941	2310003H01Rik
0.017466650345287	Rora
0.0175513331042769	6330415B21Rik
0.0175559560714322	Tnnc2
0.0175678692243717	Fam118a
0.017579067637224	Gm29766
0.0176126920901879	Ptov1
0.0176421806307682	Crebbp
0.0177211871836113	Celf5
0.0178026728784717	Slc35a2
0.0179469005992204	Bex1
0.0179912921093591	Ank2
0.0179921133691131	Il1f8
0.0179978637988691	Dlc1
0.0180233440209802	Tmem139
0.0181329020639024	Mybpc1
0.018134079750623	Scp2d1
0.0181397335946889	Sapcd2
0.0181402891043289	E2f4
0.0181567107965235	Arfgef3
0.0181931757782835	Wfs1
0.0183196664108484	Cdh15
0.0183310234489997	Ccl28
0.0183408174821531	Ggt7
0.0183902956394455	Tfr2
0.0184266654941965	Astn1
0.0184411826309977	Gm11651
0.0184815387326184	Nwd2
0.0184911250587952	BC026600
0.0186692939386594	Rnd1
0.0186755497407527	Nr4a2
0.0187340585493963	Pim1
0.0187572777885424	Ptrf
0.018786443812154	Gast
0.0187903654931034	5830432E09Rik
0.0188269632764479	Chit1
0.0188976855612352	Fasn
0.0189461839941313	Hic2
0.0189891953489323	Cstf1
0.0190098741305048	4932414N04Rik
0.0190186776223765	Gli1
0.0190752819342561	Grip1
0.0191339774462349	Zfp629
0.0191640295949869	Fn1
0.0192145865947658	Trim71
0.0192214238052149	Clcnkb
0.0192342147511999	Mblac2
0.0193328123337349	Lefty2
0.0194048743201237	Taf1c
0.0194074571623749	Aldh1l1
0.019433420679082	Eya4
0.0194754987962104	Agtrap
0.0194905363604792	Tenm4
0.0195921225832457	Thtpa
0.0196395255922869	Clstn3
0.0198395519229076	Mast1
0.0198581987646876	Cdhr5
0.0198653410275726	Ptprn2
0.0198867343215025	Kctd11
0.0198960750461905	Ubtd1
0.0199048216855867	Plk1
0.0201362561003405	Cngb1
0.0201569450231556	P4ha3
0.020216503265718	Bace1
0.0202427844282909	Sema7a
0.020260018917514	4930435E12Rik
0.0202929913167689	AI118078
0.020353832902683	Cmtm4
0.0204081823710545	Galntl6
0.0204422618613034	Xkr6
0.0205289115242149	Map1b
0.020551173867696	Vash1
0.020571807371088	H2-Q1
0.0205800491963463	Ttyh3
0.0205815274420419	Pdia2
0.0206158994359934	Ripk4
0.0206479805651648	Smad9
0.0206669960472544	Ntng1
0.020827586484473	Bahcc1
0.020849535708054	Tctn1
0.0209215770065457	Clk2
0.0209261887491524	Sox13
0.0209263286080432	Gper1
0.0211678219594681	Serinc1
0.0211721687493421	Bambi-ps1
0.0212142957493446	Foxg1
0.021246046668619	B4galt5
0.0213305553454368	Tsr1
0.0214058580912437	Rhobtb2
0.0215993198751878	Myo5a
0.0216563869228696	A630005I04Rik
0.0216608815766137	Cntrob
0.0216725634492129	D130043K22Rik
0.0217759801530356	Ildr2
0.02183434609225	Shc2
0.0218622538621402	Thg1l
0.021914513340636	Nfatc1
0.0219388812301658	Sync
0.0220022456672261	Il1rapl2
0.0220765436985456	Lincpint
0.0220985797102948	Gstt4
0.0221043734676677	Slc7a8
0.0221728671081352	Tmtc2
0.0222253097548391	Zbtb42
0.022276653665529	Cd109
0.0222914712929331	4933413J09Rik
0.022308272883217	Zmym3
0.0223295345420112	Lypd2
0.0223391626875936	Cxadr
0.0223523349025171	Ap1g2
0.0223634046491263	Rlim
0.0223673666218459	Ptger2
0.0223790311428304	Rnf126
0.0223908552536876	Per1
0.0225050980776125	Cacna2d3
0.0225055980029662	Ncam1
0.0225198999931484	Fgf18
0.0225373982074395	Asb9
0.0225454209001419	Pitrm1
0.0225465337371825	Tmem150a
0.0225565416942141	Clec2l
0.0225615351956446	Prg2
0.022567278508154	Shpk
0.0225701893257323	Bhlhe22
0.022586304190737	Snap91
0.0226663839604606	Chd1l
0.0226756543703562	B3glct
0.0227030010117531	Ccl25
0.0227699232152174	Cspp1
0.0227796322551982	Fbxo41
0.0228410169075678	Polr1b
0.0228472741802572	Bcl7a
0.0228560288785133	Exo1
0.022866988783553	Zkscan4
0.0229030636907828	Nxph2
0.0229217983672696	Lnx1
0.0231937267681201	Pds5a
0.0232332465720123	Pspn
0.0232461878987435	Cadps2
0.0232638153969335	Scrg1
0.0233563128574334	Neil1
0.0233607565626398	3632451O06Rik
0.0234772306675044	Cep41
0.0234994356634824	Gigyf1
0.0235586715110062	Prrg3
0.0235592584804662	6430411K18Rik
0.0235788259643944	Kcna2
0.023634801384802	Zfp623
0.0237255049318885	Fam170a
0.0237651363037528	A730017C20Rik
0.0237709428006727	Cass4
0.0238189196534459	Syce3
0.0238386232777363	Usp42
0.0238485791742396	Pvalb
0.0239769416442168	B3gat1
0.0239825057476459	Wdfy1
0.023983591017416	Lin7a
0.0240532145361682	Rnf39
0.0241582471699437	Rita1
0.02416445025895	Cd200
0.0241787739251807	Dpysl4
0.0241832940015139	Fcna
0.0241924599625781	Tsen54
0.024198509304618	Satb2
0.0242103567528227	Gan
0.0242423346700214	Gas7
0.0242692423597486	Fstl5
0.0243200829360299	Sgsm1
0.024327969679359	Csnk1g1
0.0244941488501005	Osbpl11
0.0245246699778036	Nol10
0.0245467260746784	Trpm1
0.0246272901532431	B4galnt4
0.0246362109962107	Wdr6
0.0246364469485903	Asz1
0.0246740183004241	Klf3
0.024716885558683	Celf3
0.0247476673294901	Fv1
0.0247799750699459	Arhgef6
0.0248332407749311	Atp11a
0.0248464614135292	Aff3
0.0248566455395161	Gm2381
0.0249590300425568	Slitrk1
0.0249591253303324	Med12
0.0250080321233001	Amn
0.0250258495157276	Sephs2
0.0250770114639511	Rpap1
0.0250957727572379	Fgd3
0.025168070431106	Grp
0.025221496063779	Rtn4ip1
0.0252679568069892	Hdgfrp3
0.0252901444443548	Rasgrp2
0.0253537937206313	Nudcd3
0.0254344558701544	Osbpl10
0.0255248833064608	Camk4
0.0255740797571534	Car5a
0.0256062849294609	Speer4f
0.0256465076134912	Ppif
0.0256701020793995	Ss18l1
0.0257882704862343	Lrrc69
0.0258003938744716	Krt7
0.0258654600652599	Tcf4
0.0259263145649233	Kit
0.0259323498989176	Wdr38
0.0259828958347857	Grin2b
0.0259899444477912	Map3k14
0.0260794146650438	Sppl3
0.0261334693428447	Casc4
0.0261518505899337	Best2
0.0261539203764037	Gm20556
0.0261646758787071	Itsn1
0.0262868951416941	Klf5
0.0263066466133043	Mtss1
0.0263574496885661	Hpse
0.0263971767935801	Ifitm1
0.0264136159241615	Helz
0.026461278198608	Cd248
0.0264738323468386	Slc30a1
0.0264780704113692	Megf8
0.0264808671463814	Scn4b
0.0265278606892099	Rtp3
0.0265738820327729	1700122O11Rik
0.0265759093059164	Adcy8
0.0265817033368153	Sirt6
0.0265821291941503	4930453L07Rik
0.0266688236073605	Il7r
0.0267338219612176	Gdf10
0.02673933533522	Draxin
0.0268462994233706	Dync1h1
0.0268472122517274	Col5a1
0.026921417815505	Kdf1
0.0269386390531814	Rhebl1
0.0269528900052087	Pgap1
0.0269978992599283	Mapkbp1
0.0270023761517856	Myh10
0.0270088780866564	Grm4
0.0272279150467728	Nrarp
0.0272856637954484	AF357355
0.0273691798426082	2310005A03Rik
0.0274433001523459	Enah
