#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259135405; Statistic: 10.6778138012036; Expected: 7.10935249061112; Std.dev: 1.02109576229459; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE48622
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPP_KO
#  DE genes: 4, up: 1, down: 3
#GSE48622_APP_KO: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE48622_APP_KO	GeneSymbols
0.00739123837864142	Mcam
0.00743157023218958	Theg
0.00743445117072506	Tox4
0.0074412369298479	S1pr5
0.00744572196729824	C2cd2l
0.00745216423655982	Map4k4
0.0075063986104265	Agpat9
0.00751056290431436	Pacrgl
0.00752465163244483	Bin1
0.00753555120973268	Tmem141
0.00757814304989948	Zfp513
0.0075814984911448	Aass
0.00759853286618541	Ucp2
0.0076350022810123	Ddr1
0.00763565360221025	Apool
0.00765010953360365	Slco2b1
0.00766453360343729	Ccdc87
0.00768998473158571	Anln
0.00771441341870289	Elf1
0.00783974153487016	Lgi3
0.00784006296642517	Serpinb1b
0.00784132276450544	Bcap29
0.007866093273858	Frmd8
0.00787564884865116	Ctss
0.00789940045241524	9430037G07Rik
0.00790447650605952	Ric3
0.0079055939299584	Panx3
0.00792744727818374	Zfp661
0.00802084141745233	Kazn
0.00802271690958759	Tceanc2
0.00805079326743219	Rarres1
0.00818204806470467	Sema4c
0.0081904251915087	Fas
0.00822732818081793	Tex38
0.00823094429019411	Lbr
0.00825414416000212	Fdps
0.00826318470475229	Stk38l
0.00826354075011276	Snx22
0.00834764783862942	Gm1943
0.00836046329012011	Fam217a
0.00839247716768039	1700047M11Rik
0.00840609878394957	Klra7
0.00844223865651898	Frmd5
0.00850820269175417	Il17d
0.00854764018573814	D16Ertd472e
0.00858845089375121	Spats2l
0.00860381962727424	Cma1
0.00863164324808303	Tbl1xr1
0.00863461786833532	Blnk
0.00869243544123337	Msmo1
0.00876159824822684	Rcan1
0.00880680929814094	Vac14
0.00885497005312509	Baiap2l1
0.00886480285282226	Rnf135
0.0088877561037214	Wipf1
0.00890819452382899	Mobp
0.00892565461342333	Gstm6
0.00894883910232579	Pglyrp1
0.00897424680377982	Tmem200c
0.0089872313249943	Stc1
0.00901281094837686	Il7r
0.00907463315803354	Pstk
0.00908172072122715	Nebl
0.0091358087808346	Degs1
0.00913875929470384	Mier1
0.00917470821937694	Fam122a
0.00917474571805999	Rpusd2
0.00918863749606913	Arpc1b
0.00919233931567874	Opa1
0.00925172674207017	Malt1
0.00926413000532455	C1qb
0.00929004399370251	Unc5b
0.0093497449924276	Bag3
0.00942606475534865	Tesk2
0.00944467372708719	Stat5a
0.00946947563565474	Inpp5d
0.00951487345254579	Nt5dc2
0.0095516657702803	Tceal7
0.00956218906857562	Cpt2
0.00956814843739982	Gpr62
0.00957480211984979	Glra1
0.00958716492919475	Carns1
0.00963151537646389	Bace2
0.0096478041249048	Gm15698
0.00965051062035677	Lgals3
0.00969214512842005	Clec2d
0.00969418508553476	Alg13
0.00974391202125321	4930525G20Rik
0.00974654715993334	Tmem119
0.00979178738678012	Cntd1
0.00979536901140374	Gng11
0.00982391096158058	Spidr
0.00983005223830097	Rnf13
0.00984475025338125	Zfp37
0.00988355791215556	Haus3
0.00991530548908682	Slc5a5
0.00995820214764203	Eif4ebp1
0.00997059374305841	Slc44a2
0.00998335586765018	Txndc17
0.00999524473239596	Tubd1
