Sample	15m_bfb_AD11_rep1	15m_bfb_AD11_rep2	15m_bfb_AD11_rep3	15m_bfb_AD11_rep4	15m_bfb_AD11_rep5	15m_bfb_VH_rep1	15m_bfb_VH_rep2	15m_bfb_VH_rep3	15m_bfb_VH_rep4	15m_bfb_VH_rep5	15m_ctx_AD11_rep1	15m_ctx_AD11_rep2	15m_ctx_AD11_rep3	15m_ctx_AD11_rep4	15m_ctx_AD11_rep5	15m_ctx_VH_rep1	15m_ctx_VH_rep2	15m_ctx_VH_rep3	15m_ctx_VH_rep4	15m_ctx_VH_rep5	3m_bfb_AD11_rep1	3m_bfb_AD11_rep2	3m_bfb_AD11_rep3	3m_bfb_AD11_rep4	3m_bfb_AD11_rep5	3m_bfb_VH_rep1	3m_bfb_VH_rep2	3m_bfb_VH_rep3	3m_bfb_VH_rep4	3m_bfb_VH_rep5	3m_ctx_AD11_rep1	3m_ctx_AD11_rep2	3m_ctx_AD11_rep3	3m_ctx_AD11_rep4	3m_ctx_AD11_rep5	3m_ctx_VH_rep1	3m_ctx_VH_rep2	3m_ctx_VH_rep3	3m_ctx_VH_rep4	3m_ctx_VH_rep5	3m_hp_AD11_rep1	3m_hp_AD11_rep2	3m_hp_AD11_rep3	3m_hp_AD11_rep4	3m_hp_AD11_rep5	3m_hp_VH_rep1	3m_hp_VH_rep2	3m_hp_VH_rep3	3m_hp_VH_rep4	3m_hp_VH_rep5
15m_ctx_AD11_rep4	0.986935614901245	0.991000867759447	0.97152281401659	0.981953274611723	0.985722720931709	0.991915637750681	0.976974919898859	0.990186736040686	0.99094836097127	0.991894853234418	0.994625686716948	0.993607846598216	0.99378194325544	NA	0.989368045189769	0.99271026436775	0.989973675372323	0.992679341414565	0.98799502097835	0.98735762648062	0.982315341639614	0.983252386904767	0.979742952379073	0.984793711484299	0.984407035327305	0.98956646268616	0.988789924770133	0.98266284985334	0.98478255718767	0.981858933965008	0.990858720485095	0.987610665444816	0.991320096364748	0.987428601952158	0.990113342503667	0.991666301275834	0.989933411451567	0.990697971082627	0.990431980428435	0.989415615266841	0.985874296234134	0.986384138320749	0.982565413321354	0.982261729240063	0.982752888180006	0.981215528938219	0.981980118175079	0.985635697595018	0.985590605777966	0.981583011382837
15m_ctx_AD11_rep5	0.986428129366998	0.9912936713198	0.974773958102178	0.986464746641244	0.988148741187616	0.990855925182684	0.982574430930175	0.992021539880969	0.991730848892224	0.992272200036565	0.992824749876062	0.994791553412349	0.99479299468591	0.989368045189769	NA	0.992711362833071	0.994656823985343	0.992661500666744	0.995588595108719	0.991438996189539	0.981549160612112	0.986664698385713	0.983943490611633	0.985695712667366	0.987500385742842	0.992882933600069	0.994124176171506	0.987278152515034	0.985924424001122	0.98469832069758	0.991829188502658	0.990231441589183	0.991775453962229	0.985249354004853	0.989307065183683	0.9916536754066	0.98937988588262	0.988078943260754	0.990037991051791	0.988233557355578	0.98530549764089	0.990435923316165	0.987044006913156	0.986390341407506	0.986278067427483	0.987110373071118	0.985138195377398	0.98694647325488	0.989560602470528	0.976275725566717
15m_ctx_VH_rep1	0.987812229516929	0.992193531457808	0.975179604900789	0.986425485793424	0.989270216419881	0.992192249126206	0.98053590400873	0.994046860607443	0.992851298265667	0.993618723450171	0.996423856115392	0.995090138941954	0.994312188203684	0.99271026436775	0.992711362833071	NA	0.993357082228805	0.993379474733602	0.992497437322923	0.991290609456558	0.980937215401788	0.986573478617989	0.983279520859717	0.987223167411018	0.988357452381336	0.992985423868562	0.992846340111941	0.986548229980621	0.986325580553592	0.985111281833024	0.993955852273395	0.99090848101052	0.992000155064702	0.986833794799685	0.989420431166889	0.99397853534064	0.988256105445992	0.989628065750802	0.990680367803042	0.98858749181051	0.986324569065329	0.988992564749775	0.985362680443805	0.985072498891279	0.983866761046073	0.985642129423716	0.985734534452	0.986717847266068	0.987629403444262	0.973845084542989
15m_ctx_VH_rep2	0.987696342333985	0.991739845929833	0.977063437525969	0.988009112428401	0.989416415910815	0.991759572828326	0.982318758136476	0.993364567641048	0.993949335944835	0.993195624397533	0.99234083294092	0.99608787258109	0.994611484112124	0.989973675372323	0.994656823985343	0.993357082228805	NA	0.993983113999793	0.995476916599383	0.992489586794571	0.98089045399574	0.987164972616851	0.985076535485228	0.985644305189763	0.989367686170389	0.994049261721886	0.994390745071977	0.987019855008685	0.987410326122005	0.987887543799159	0.991199717556928	0.991076843327712	0.992187678608908	0.98427803108485	0.990150861132407	0.99284190852309	0.989712748148501	0.987354508536069	0.990700579678203	0.989382101837369	0.986107764175774	0.990466780495078	0.986368051635412	0.987141725164516	0.987332225140291	0.986507806669496	0.986758426870131	0.988741040756881	0.990979290180389	0.977524730851481
15m_ctx_VH_rep3	0.989904468528882	0.992401113613967	0.975931074640203	0.986318402976091	0.988541098662954	0.992704505557931	0.98325619479473	0.993176661214428	0.993911505531702	0.993161194791525	0.99354021755804	0.994358941889213	0.993548495957465	0.992679341414565	0.992661500666744	0.993379474733602	0.993983113999793	NA	0.993158068336078	0.992493084535344	0.986498260000667	0.98971862979621	0.986404002449529	0.988229842259456	0.989650409278035	0.993207189043718	0.993540014860716	0.98899420187401	0.989021618761367	0.986880197461308	0.990668304559418	0.989367458410261	0.99110499925294	0.986063494970721	0.988915161953634	0.992058147241742	0.990614348188954	0.989262578268879	0.990977089086565	0.990380044350408	0.986538954338957	0.990272763256702	0.985232554233441	0.984680194051745	0.98536980250255	0.9854349212969	0.984963273516406	0.987535895580033	0.988496370130089	0.97944571876508
15m_ctx_VH_rep4	0.986937590540826	0.991409179441399	0.97622432886709	0.988164365002424	0.9896086233012	0.992423361006206	0.983033572743685	0.99246492605874	0.994110940164611	0.993498856006922	0.990933926443077	0.994355006806056	0.993817735776895	0.98799502097835	0.995588595108719	0.992497437322923	0.995476916599383	0.993158068336078	NA	0.992655283345233	0.980845558858952	0.987671432918757	0.985907112472089	0.985691559176542	0.989070712223375	0.9926003589785	0.994123888902915	0.987629988960983	0.987732755966316	0.98731373333243	0.990600611603747	0.990820604043029	0.992668347941583	0.984415950487923	0.990230809963391	0.992922626552962	0.990348100530928	0.986383839294252	0.989588098245253	0.988602395396396	0.986037968905566	0.990594592898504	0.987746950314847	0.988173405729063	0.988725923407924	0.988893301560931	0.987127803611165	0.989427420009802	0.991951388532263	0.977785989016723
15m_ctx_VH_rep5	0.986818647345644	0.988931520058765	0.973957581177264	0.984784275835875	0.987232376796275	0.987830335599041	0.981569602299144	0.990530953505055	0.990382223319816	0.989359566772981	0.990637109132655	0.99322825349983	0.990975994699448	0.98735762648062	0.991438996189539	0.991290609456558	0.992489586794571	0.992493084535344	0.992655283345233	NA	0.98224390811751	0.987091253200364	0.985820365527556	0.98597578063041	0.987957741107435	0.992061982793933	0.991579841922505	0.988352060295515	0.98849473628192	0.983041022069746	0.988617841135891	0.987720364234952	0.988625664760582	0.982656729105896	0.984547383076074	0.990053600242344	0.987117227012044	0.985859006622168	0.98884043071674	0.987364040471649	0.982755582043193	0.988474360583064	0.983734251791417	0.98217234715334	0.984849439167607	0.984658787496981	0.983707324795203	0.98500927780995	0.98586149983664	0.974784783623571
3m_bfb_AD11_rep1	0.989433300467681	0.981122305329393	0.969038934273342	0.980041883124878	0.980205441155568	0.981873719722401	0.985994379752364	0.982068152824134	0.982383142933298	0.97897271867031	0.982474614236596	0.981689366881445	0.980168603534129	0.982315341639614	0.981549160612112	0.980937215401788	0.98089045399574	0.986498260000667	0.980845558858952	0.98224390811751	NA	0.991604733286842	0.989504376203469	0.990948908054696	0.987569027278372	0.985930415573064	0.986155768855588	0.991293925365663	0.991014552480941	0.97516494860031	0.982403098734003	0.980838443335854	0.98129781395203	0.9824028906112	0.976844153744431	0.980342975847365	0.984423257360266	0.982371763290586	0.983352295244076	0.984602383194601	0.981974548328352	0.985920863575373	0.978707886703848	0.976959399366065	0.976238705661393	0.979102118720216	0.979875544750361	0.98042654480435	0.980290093744884	0.978395002022925
3m_bfb_AD11_rep2	0.9930283240551	0.990084526843957	0.979781589440593	0.989472073766944	0.990367584458255	0.98766256239817	0.988995623188596	0.989477785946248	0.990142132592039	0.986813058342869	0.986143283581577	0.98658930812319	0.98596494939549	0.983252386904767	0.986664698385713	0.986573478617989	0.987164972616851	0.98971862979621	0.987671432918757	0.987091253200364	0.991604733286842	NA	0.996306538213902	0.993425842039649	0.996133278458685	0.991154248362472	0.991507204461452	0.993517198740029	0.991396623288994	0.985467886968742	0.987518259446044	0.988497697545525	0.987052908404933	0.984157077033547	0.984234413098682	0.985286553401473	0.983919454208929	0.980231279088443	0.983272813677564	0.983212163500402	0.985265474926567	0.990712289118498	0.982517155381369	0.983009002866401	0.983502734521452	0.98532669299103	0.984734867308828	0.985518144460242	0.986198666480677	0.973532212917086
3m_bfb_AD11_rep3	0.991806206318625	0.98615026392162	0.977851587044775	0.988297775951575	0.988679480173437	0.98389885164375	0.987561517499167	0.985940145221525	0.987532624460221	0.982877474325966	0.982477803174714	0.98454450766957	0.983239974465	0.979742952379073	0.983943490611633	0.983279520859717	0.985076535485228	0.986404002449529	0.985907112472089	0.985820365527556	0.989504376203469	0.996306538213902	NA	0.991577628758487	0.995671235894227	0.988812894935879	0.988581210378114	0.991616346477493	0.990823187889511	0.9836570701751	0.983081486455395	0.985106188986162	0.984486819233306	0.980531098475851	0.980494441233329	0.981636330379716	0.980497239169807	0.97537483707144	0.979895902477989	0.979867493714702	0.981635659332143	0.988898293402839	0.981265804065456	0.981561037924945	0.983105036033525	0.98341735571102	0.983276803839931	0.984318084739369	0.984495742477481	0.972151711990058
