# 2018-03-29
# /home/omancarci/git repos/forks/AlzMouseModelMeta/files_results//AD_mouse_model_project//mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//early//run4/
geneSymbol	up_pval	down_pval	up_padj	down_padj	up_rank	down_rank	Estimate	Std..Error	t.value	CI_2.5	CI_97.5	pvalue	chisq	chi_df	GSE48622_intercept	GSE64398_intercept	GSE63617_intercept	GSE48622_FE_Disease	GSE64398_FE_Disease	GSE63617_FE_Disease	FE_Gender	Gender	ME_model
Asphd2	0.960113709695772	0.0398862903042282	0.999999344641076	0.709940646913355	10269	610	-0.0628380899916356	0.0356219117534432	-1.76402912978307	NA	NA	0.0797725806084564	3.06952901015843	1	10.7137747116137	12.4056807739841	12.7897840606635	-0.0628380899916356	-0.0628380899916356	-0.0628380899916356	NA	NA	random_intercept
Asprv1	0.520276665423178	0.479723334576822	0.999999344641076	0.961452143962602	5452	5427	-0.0021340028327042	0.0419651788543048	-0.0508517511652471	NA	NA	0.959446669153644	0.00258551561969611	1	5.22107417146171	6.72391680903477	5.55778630969469	-0.0021340028327042	-0.0021340028327042	-0.0021340028327042	NA	NA	random_intercept
Aspscr1	0.225930420728243	0.774069579271757	0.999999344641076	0.993844213201658	2409	8470	0.0267699120786278	0.0355374532681335	0.753287295987314	NA	NA	0.451860841456485	0.565979881140962	1	8.33498642928668	9.29517783885299	7.52548985168224	0.0267699120786278	0.0267699120786278	0.0267699120786278	NA	NA	random_intercept
Asrgl1	0.34618414568193	0.65381585431807	0.999999344641076	0.982804443276177	3644	7235	0.011311512455151	0.0285802314635764	0.395780995320726	NA	NA	0.69236829136386	0.156533511385561	1	10.8754006090195	7.98693861501834	11.1516853851274	0.011311512455151	0.011311512455151	0.011311512455151	NA	NA	random_intercept
Aste1	0.286440526950102	0.713559473049898	0.999999344641076	0.987577644784499	3037	7842	0.0154675079452353	0.0274138265469298	0.564222871942243	NA	NA	0.572881053900205	0.317885678271153	1	6.07517509156289	8.16603578765251	4.66783957414834	0.0154675079452353	0.0154675079452353	0.0154675079452353	NA	NA	random_intercept
Astn1	0.0394818505264773	0.960518149473523	0.874711955248514	0.999999984502223	491	10388	0.0634184722141265	0.0358294153824584	1.77001135902361	NA	NA	0.0789637010529546	3.08610318654567	1	11.4454257243609	12.6146059820856	11.9733556986999	0.0634184722141265	0.0634184722141265	0.0634184722141265	NA	NA	random_intercept
Astn2	0.167884518138337	0.832115481861663	0.999418410470916	0.998400160782347	1818	9061	0.050376180515289	0.0522189107674546	0.964711438345167	NA	NA	0.335769036276674	0.926519234135256	1	5.07245154712544	6.84386215689701	5.06814303257203	0.050376180515289	0.050376180515289	0.050376180515289	NA	NA	random_intercept
Asxl1	0.542765253517854	0.457234746482146	0.999999344641076	0.958054028881774	5710	5169	-0.00997574536898123	0.0928027747296902	-0.107494042048182	NA	NA	0.914469492964291	0.0115353452863953	1	8.90800686275173	NA	7.59853600704849	-0.00997574536898123	NA	-0.00997574536898123	NA	NA	random_intercept
Asxl2	0.280157619199226	0.719842380800774	0.999999344641076	0.987577644784499	2961	7918	0.0323124206813071	0.0554371882373324	0.582865432189206	NA	NA	0.560315238398452	0.339158701370138	1	7.60201532685408	5.81215590200446	6.17673906002906	0.0323124206813071	0.0323124206813071	0.0323124206813071	NA	NA	random_intercept
Asxl3	0.264817224767268	0.735182775232732	0.999999344641076	0.989902705067332	2806	8073	0.0291994794558286	0.0463260880363516	0.630303155166394	NA	NA	0.529634449534536	0.395092866032464	1	6.85924088664813	NA	4.90761953544276	0.0291994794558286	NA	0.0291994794558286	NA	NA	random_intercept
